Plant Design Type,Method for Estimating Credits of Co-Products,activity,flow_source,flows,flow_breakdown,value,unit,direction,type,Source,comment,data location,,
Steam co-production,Displacement method,MeOH Production,,electricity,,0.0395,MJ/MJ,input,energy,GREET,,MeOH_FTD tab Row 116 for Natural Gas to Methanol,,
Steam co-production,Btu-based Allocation,MeOH Production,,electricity,,0.0395,MJ/MJ,input,energy,GREET,,MeOH_FTD tab Row 116 for Natural Gas to Methanol,,
No co-products,Displacement method,MeOH Production,,electricity,,0.033655212,MJ/MJ,input,energy,GREET,,MeOH_FTD tab Row 116 for Natural Gas to Methanol,,
Electricity co-production,Displacement method,MeOH Production,,electricity co-generated,,-0.00000687,MJ/MJ,input,energy,GREET,,MeOH_FTD tab Row 95 for Natural Gas to Methanol,,
Electricity co-production,Btu-based Allocation,MeOH Production,,electricity co-generated,,-0.00000687,MJ/MJ,input,energy,GREET,,MeOH_FTD tab Row 95 for Natural Gas to Methanol,,
Steam co-production,Displacement method,MeOH Production,,Natural gas: process fuel,,0.013,MJ/MJ,input,energy,GREET,,MeOH_FTD tab Row 110 for Natural Gas to Methanol,,
Steam co-production,Btu-based Allocation,MeOH Production,,Natural gas: process fuel,,0.013,MJ/MJ,input,energy,GREET,,MeOH_FTD tab Row 110 for Natural Gas to Methanol,,
No co-products,Displacement method,MeOH Production,,Natural gas: process fuel,,0.012390783,MJ/MJ,input,energy,GREET,,MeOH_FTD tab Row 110 for Natural Gas to Methanol,,
Electricity co-production,Displacement method,MeOH Production,,Natural gas: process fuel,,0.013350871,MJ/MJ,input,energy,GREET,,MeOH_FTD tab Row 110 for Natural Gas to Methanol,,
Electricity co-production,Btu-based Allocation,MeOH Production,,Natural gas: process fuel,,0.013350871,MJ/MJ,input,energy,GREET,,MeOH_FTD tab Row 110 for Natural Gas to Methanol,,
Steam co-production,Displacement method,MeOH Production,,natural gas,,1.4505,MJ/MJ,input,energy,GREET,Primary variable to be passed to midstream stage,MeOH_FTD tab Row 112 for Natural Gas to Methanol,,
Steam co-production,Btu-based Allocation,MeOH Production,,natural gas,,1.4505,MJ/MJ,input,energy,GREET,Primary variable to be passed to midstream stage,MeOH_FTD tab Row 112 for Natural Gas to Methanol,,
No co-products,Displacement method,MeOH Production,,natural gas,,1.382525434,MJ/MJ,input,energy,GREET,Primary variable to be passed to midstream stage,MeOH_FTD tab Row 112 for Natural Gas to Methanol,,
Electricity co-production,Displacement method,MeOH Production,,natural gas,,1.489649129,MJ/MJ,input,energy,GREET,Primary variable to be passed to midstream stage,MeOH_FTD tab Row 112 for Natural Gas to Methanol,,
Electricity co-production,Btu-based Allocation,MeOH Production,,natural gas,,1.489649129,MJ/MJ,input,energy,GREET,Primary variable to be passed to midstream stage,MeOH_FTD tab Row 112 for Natural Gas to Methanol,,
Steam co-production,Displacement method,MeOH Production,,steam co-generated,,-0.1095,MJ/MJ,input,energy,GREET,,MeOH_FTD tab Row 95 for Natural Gas to Methanol,,
Steam co-production,Btu-based Allocation,MeOH Production,,steam co-generated,,-0.1095,MJ/MJ,input,energy,GREET,,MeOH_FTD tab Row 95 for Natural Gas to Methanol,,
Steam co-production,Displacement method,MeOH Production,electricity,bc,,2.23461E-08,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow",,
Steam co-production,Displacement method,MeOH Production,steam,bc,,-9.09928E-08,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow",,
Steam co-production,Displacement method,MeOH Production,total,bc,,3.09884E-08,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Steam co-production,Displacement method,MeOH Production: Non-Combustion Emissions,total,bc,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Steam co-production,Displacement method,Production of Displaced Steam,total,bc,,-9.09928E-08,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Steam co-production,Btu-based Allocation,MeOH Production,electricity,bc,,2.23461E-08,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow",,
Steam co-production,Btu-based Allocation,MeOH Production,steam,bc,,-9.09928E-08,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow",,
Steam co-production,Btu-based Allocation,MeOH Production,total,bc,,2.793E-08,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
Steam co-production,Btu-based Allocation,MeOH Production: Non-Combustion Emissions,total,bc,,0,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
No co-products,Displacement method,MeOH Production,electricity,bc,,1.90396E-08,kg/MJ,output,mass,GREET,,"See ""co2 from electricity"" flow",,
No co-products,Displacement method,MeOH Production,total,bc,,2.72768E-08,kg/MJ,output,mass,GREET,,"See ""co2"" flow",,
