Generator Type,Turbine Model,Efficiency,Loading,flows,value,unit,direction,type,source,comments
Gas Turbine,GE5371,0.28299662,1,co2,0.6546102,kg/kWh,output,mass,aspen,Pressure ratio 10.6
Gas Turbine,GE5371,0.270336245,0.9,co2,0.685266876,kg/kWh,output,mass,aspen,Pressure ratio 10.6
Gas Turbine,GE5371,0.25767587,0.8,co2,0.718936058,kg/kWh,output,mass,aspen,Pressure ratio 10.6
Gas Turbine,GE5371,0.242781311,0.7,co2,0.763042564,kg/kWh,output,mass,aspen,Pressure ratio 10.6
Gas Turbine,GE5371,0.230120936,0.6,co2,0.805022252,kg/kWh,output,mass,aspen,Pressure ratio 10.6
Gas Turbine,GE5371,0.213736921,0.5,co2,0.866731275,kg/kWh,output,mass,aspen,Pressure ratio 10.6
Gas Turbine,GE5371,0.193629266,0.4,co2,0.956737985,kg/kWh,output,mass,aspen,Pressure ratio 10.6
Gas Turbine,GE5371,0.28299662,1,natural gas,12.721,MJ/kWh,input,energy,aspen,Pressure ratio 10.6
Gas Turbine,GE5371,0.270336245,0.9,natural gas,13.31674931,MJ/kWh,input,energy,aspen,Pressure ratio 10.6
Gas Turbine,GE5371,0.25767587,0.8,natural gas,13.97104046,MJ/kWh,input,energy,aspen,Pressure ratio 10.6
Gas Turbine,GE5371,0.242781311,0.7,natural gas,14.82815951,MJ/kWh,input,energy,aspen,Pressure ratio 10.6
Gas Turbine,GE5371,0.230120936,0.6,natural gas,15.64394822,MJ/kWh,input,energy,aspen,Pressure ratio 10.6
Gas Turbine,GE5371,0.213736921,0.5,natural gas,16.84313589,MJ/kWh,input,energy,aspen,Pressure ratio 10.6
Gas Turbine,GE5371,0.193629266,0.4,natural gas,18.59223077,MJ/kWh,input,energy,aspen,Pressure ratio 10.6
Gas Turbine,GE6101,0.34201026,1,co2,0.5856987,kg/kWh,output,mass,aspen,Pressure ratio 10.6
Gas Turbine,GE6101,0.302143172,0.9,co2,0.613128116,kg/kWh,output,mass,aspen,Pressure ratio 10.6
Gas Turbine,GE6101,0.287993217,0.8,co2,0.643252908,kg/kWh,output,mass,aspen,Pressure ratio 10.6
Gas Turbine,GE6101,0.27134621,0.7,co2,0.682716276,kg/kWh,output,mass,aspen,Pressure ratio 10.6
Gas Turbine,GE6101,0.257196254,0.6,co2,0.720276718,kg/kWh,output,mass,aspen,Pressure ratio 10.6
Gas Turbine,GE6101,0.238884547,0.5,co2,0.775489568,kg/kWh,output,mass,aspen,Pressure ratio 10.6
Gas Turbine,GE6101,0.216411088,0.4,co2,0.856021177,kg/kWh,output,mass,aspen,Pressure ratio 10.6
Gas Turbine,GE6101,0.34201026,1,natural gas,10.526,MJ/kWh,input,energy,aspen,Pressure ratio 10.6
