Region,Generator Type,Count Emissions from Building Powerplant,mix,efficiency,flows,value,unit,direction,type,source,data location,,
ASCC,Boiler,No,,34.00%,bc,6.70E-06,kg/kWh,output,mass,GREET,Electric tab Row 144-154 for Natural gas Boiler when Inputs tab E710 = ASCC,,
ASCC,Boiler,Yes,,34.00%,bc,6.69E-06,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Natural gas Boiler when Inputs tab E710 = ASCC,,
ASCC,Gas Turbine,No,,29.90%,bc,1.10E-06,kg/kWh,output,mass,GREET,Electric tab Row 144-154 for Natural gas Gas Turbine when Inputs tab E710 = ASCC,,
ASCC,Gas Turbine,Yes,,29.90%,bc,1.10E-06,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Natural gas Gas Turbine when Inputs tab E710 = ASCC,,
ASCC,Combined Cycle,No,,38.30%,bc,2.90E-08,kg/kWh,output,mass,GREET,Electric tab Row 144-154 for Natural gas Combined Cycle when Inputs tab E710 = ASCC,,
ASCC,Combined Cycle,Yes,,38.30%,bc,3.12E-08,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Natural gas Combined Cycle when Inputs tab E710 = ASCC,,
ASCC,Internal Combustion Engine,No,,34.00%,bc,9.10E-05,kg/kWh,output,mass,GREET,Electric tab Row 144-154 for Natural gas Internal Combustion Engine when Inputs tab E710 = ASCC,,
ASCC,Internal Combustion Engine,Yes,,34.00%,bc,9.10E-05,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Natural gas Internal Combustion Engine when Inputs tab E710 = ASCC,,
ASCC,Mix,No,0%Boiler_35%Gas Turbine_65%Combined Cycle_0%Internal Combustion Engine,34.90%,bc,4.00E-07,kg/kWh,output,mass,GREET,Electric tab Row 144-154 for Natural gas Mix when Inputs tab E710 = ASCC,,
ASCC,Mix,Yes,0%Boiler_35%Gas Turbine_65%Combined Cycle_0%Internal Combustion Engine,34.90%,bc,4.04E-07,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Natural gas Mix when Inputs tab E710 = ASCC,,
FRCC,Boiler,No,,33.00%,bc,3.80E-06,kg/kWh,output,mass,GREET,Electric tab Row 144-154 for Natural gas Boiler when Inputs tab E710 = FRCC,,
FRCC,Boiler,Yes,,33.00%,bc,3.80E-06,kg/kWh,output,mass,GREET,Electric tab Row 144-154 plus Row 188-198 for Natural gas Boiler when Inputs tab E710 = FRCC,,
FRCC,Gas Turbine,No,,31.80%,bc,1.00E-06,kg/kWh,output,mass,GREET,Electric tab Row 144-154 for Natural gas Gas Turbine when Inputs tab E710 = FRCC,,
