feed,Generation Region,Generator Type,LWR Sub-Type,Count Emissions from Building Plant Infrastructure,flows,value,unit,direction,type,source,data location,comment
Nuclear,US,LWR (Light Water Reactor),Mix (100% PWR_Pressurized Water Reactor),yes,voc,4.57E-07,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for US PWR when Inputs tab E710 = US,infrastructure emissions
Nuclear,US,LWR (Light Water Reactor),Mix (100% PWR_Pressurized Water Reactor),yes,co,2.89E-06,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for US PWR when Inputs tab E710 = US,infrastructure emissions
Nuclear,US,LWR (Light Water Reactor),Mix (100% PWR_Pressurized Water Reactor),yes,nox,4.94E-07,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for US PWR when Inputs tab E710 = US,infrastructure emissions
Nuclear,US,LWR (Light Water Reactor),Mix (100% PWR_Pressurized Water Reactor),yes,pm10,2.91E-07,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for US PWR when Inputs tab E710 = US,infrastructure emissions
Nuclear,US,LWR (Light Water Reactor),Mix (100% PWR_Pressurized Water Reactor),yes,pm2.5,1.32E-07,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for US PWR when Inputs tab E710 = US,infrastructure emissions
Nuclear,US,LWR (Light Water Reactor),Mix (100% PWR_Pressurized Water Reactor),yes,sox,1.85E-06,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for US PWR when Inputs tab E710 = US,infrastructure emissions
Nuclear,US,LWR (Light Water Reactor),Mix (100% PWR_Pressurized Water Reactor),yes,bc,2.77E-09,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for US PWR when Inputs tab E710 = US,infrastructure emissions
Nuclear,US,LWR (Light Water Reactor),Mix (100% PWR_Pressurized Water Reactor),yes,oc,5.78E-09,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for US PWR when Inputs tab E710 = US,infrastructure emissions
Nuclear,US,LWR (Light Water Reactor),Mix (100% PWR_Pressurized Water Reactor),yes,ch4,7.12E-07,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for US PWR when Inputs tab E710 = US,infrastructure emissions
Nuclear,US,LWR (Light Water Reactor),Mix (100% PWR_Pressurized Water Reactor),yes,n2o,4.36E-09,kg/kWh,output,mass,GREET,Electric tab Row 188-198 for US PWR when Inputs tab E710 = US,infrastructure emissions
