index,category,input,unit,"Ecoinvent reference.
(either Ecoinvent URL or Ecospold ID)",Title in Simapro software (To find using Simpro. simply paste text below into Simapro search),values
1,energy & fuel,electricity. medium voltage. at grid,kWh,See columns on links.,See columns on links.,6.60E-01
2,energy & fuel,heat. at cogen 1MWe lean burn. allocation by exergy,MJ,Ecospold ID: cc147f58-abd5-4ef9-a3d3-ab3034ccdb3e_1125e767-7b5d-442e-81d6-9b0d3e1919ac.spold,Heat. district or industrial. natural gas {Europe without Switzerland}| heat and power co-generation. natural gas. 1MW electrical. lean burn | Alloc Def. S,0.0291
3,energy & fuel. reducing agent,petroleum coke. at refinery,kg,Ecospold ID: 8de26cf1-bfde-4a6b-a907-02395d96c281_71e2f1db-a2c5-44d0-8337-dfff15be974d.spold,Heat. district or industrial. other than natural gas {RoW}| heat production. at coal coke industrial furnace 1-10MW | Alloc Def. S,0.159
4,energy & fuel. reducing agent,hard coal coke. at plant,MJ,Ecospold ID: 8de26cf1-bfde-4a6b-a907-02395d96c281_71e2f1db-a2c5-44d0-8337-dfff15be974d.spold,Heat. district or industrial. other than natural gas {RoW}| heat production. at coal coke industrial furnace 1-10MW | Alloc Def. S,0.159
5,energy & fuel. reducing agent,charcoal. at plant,kg,See notes column,See notes column,0.3
6,energy & fuel. reducing agent,wood chips. mixed. u=120%. at forest,kg,Ecospold ID: 277accdd-09c7-4db4-9faf-61536a31661b_dd80f0f2-f4d5-40f0-9035-09c1a7f3f07b.spold,Heat. central or small-scale. other than natural gas {RoW}| heat production. hardwood chips from forest. at furnace 50kW | Alloc Def. S,0.0106
7,energy & fuel,natural gas. burned in industrial furnace low-Nox >100kW,MJ,Ecospold ID: 7ee26746-3832-42c9-9a41-8a996151d802_1125e767-7b5d-442e-81d6-9b0d3e1919ac.spold,Heat. district or industrial. natural gas {Europe without Switzerland}| heat production. natural gas. at industrial furnace low-NOx >100kW | Alloc Def. S,0.0802
8,energy & fuel,light fuel oil. burned in industrial furnace 1MW. non-modulating,MJ,Ecospold ID: 8d2a309d-7733-431a-a131-e60731c37aa6_71e2f1db-a2c5-44d0-8337-dfff15be974d.spold,Heat. district or industrial. other than natural gas {Europe without Switzerland}| heat production. light fuel oil. at industrial furnace 1MW | Alloc Def. S,0.0923
9,energy & fuel,diesel. burned in building machine,MJ,https://v33.ecoquery.ecoinvent.org/Details/PDF/11F54C48-C507-4FA5-939D-95130C182E58/06590A66-662A-4885-8494-AD0CF410F956,Diesel. burned in building machine {GLO}| market for | Alloc Def. S,0.0924
10,water,water. cooling. unspecified natural origin,m3,See notes column,See notes column,0
11,water,water. deionized. at plant,kg,https://v33.ecoquery.ecoinvent.org/Details/PDF/93C11F4F-C30B-4C5B-B879-657C1CD17FDF/06590A66-662A-4885-8494-AD0CF410F956,Water. deionised. from tap water. at user {CH}| market for water. deionised. from tap water. at user | Alloc Def. S,0.000541
12,water,water. tap. at user,kg,https://v33.ecoquery.ecoinvent.org/Details/PDF/B93EF81A-11D9-4091-B684-E08FD1EFE48F/06590A66-662A-4885-8494-AD0CF410F956,Tap water {RER}| market group for | Alloc Def. S,0.000377
13,metal,steel. low-alloyed. at plant,kg,https://db.ecoinvent.org/processdetail.php?area=2&pid=1154&displaymode=LCIA,,1.7556
14,metal,steel. chromium steel 18/8. at plant,kg,https://db.ecoinvent.org/processdetail.php?area=2&pid=1072&displaymode=LCIA,,4.5321
15,metal,steel. reinforcing steel. at plant,kg,https://db.ecoinvent.org/processdetail.php?area=2&pid=1141&displaymode=LCIA,,1.4821
16,metal,copper. at regional storage,kg,https://db.ecoinvent.org/processdetail.php?area=2&pid=1074&displaymode=LCIA,,1.8943
17,metal,aluminum alloy. AlMg3. at plant,kg,https://db.ecoinvent.org/processdetail.php?area=2&pid=1045&displaymode=LCIA,,5.9338
18,metal,aluminum. production mix. wrought alloy. at plant,kg,https://db.ecoinvent.org/processdetail.php?area=2&pid=1058&displaymode=LCIA,,11.188
19,metal,brass. at plant,kg,https://db.ecoinvent.org/processdetail.php?area=2&pid=1066&displaymode=LCIA,,2.4614
20,metal,zinc. primary. at regional storage,kg,https://db.ecoinvent.org/processdetail.php?area=2&pid=1156&displaymode=LCIA,,3.383
21,metal,zinc coating. pieces,kg,https://db.ecoinvent.org/processdetail.php?area=2&pid=1181&displaymode=LCIA,,6.209
22,metal,zinc coating. coils,kg,https://db.ecoinvent.org/processdetail.php?area=2&pid=1180&displaymode=LCIA,,4.4493
23,metal,tin. at regional storage,kg,https://db.ecoinvent.org/processdetail.php?area=2&pid=1155&displaymode=LCIA,,17.154
24,metal,lead. at regional storage,kg,https://db.ecoinvent.org/processdetail.php?area=2&pid=1155&displaymode=LCIA,,1.0603
25,process,section bar rolling. steel,kg,https://v33.ecoquery.ecoinvent.org/Details/PDF/DB3FB553-1081-4453-B555-DC1370E69F6C/06590A66-662A-4885-8494-AD0CF410F956,Section bar rolling. steel {GLO}| market for | Alloc Def. S,0.169
26,process,wire drawing. steel,kg,Section bar rolling. steel {GLO}| market for | Alloc Def. S,Wire drawing. steel {GLO}| market for | Alloc Def. S,0.337
27,process,sheet rolling. steel,kg,https://v33.ecoquery.ecoinvent.org/Details/PDF/AA79286D-327C-4003-81F1-67B719AF93A6/06590A66-662A-4885-8494-AD0CF410F956,Sheet rolling. steel {GLO}| market for | Alloc Def. S,0.388
28,process,wire drawing. copper,kg,https://v33.ecoquery.ecoinvent.org/Details/PDF/7C08D2EF-1770-4C5C-AD11-0DA0F0A16862/06590A66-662A-4885-8494-AD0CF410F956,Wire drawing. copper {GLO}| market for | Alloc Def. S,0.76
29,process,section bar extrusion. aluminum,kg,https://v33.ecoquery.ecoinvent.org/Details/PDF/9763F90D-BEE4-45DD-B650-65CAEA76B60E/06590A66-662A-4885-8494-AD0CF410F956,Section bar extrusion. aluminium {GLO}| market for | Alloc Def. S,1.03
30,infrastructure,silicone plant,unit,https://v33.ecoquery.ecoinvent.org/Details/PDF/E1E759A6-F841-4C60-931A-3617F60931D3/06590A66-662A-4885-8494-AD0CF410F956,Silicone factory {GLO}| market for | Alloc Def. S,1.38E+09
31,infrastructure,wafer factory,unit,https://v33.ecoquery.ecoinvent.org/Details/PDF/ADB58740-F240-427E-9A74-A333C7E3EB9F/06590A66-662A-4885-8494-AD0CF410F956,Wafer factory {GLO}| market for | Alloc Def. S,1.04E+05
