index,input category,input,unit,"silica sand acquisition, single crystal Si NA, multi crystal Si China, multi crystal Si Europe,","MG-Si production, single crystal Si NA, multi crystal Si Europe,","Chinese MG-Si production, multi crystal Si China,","SG-Si production, single crystal Si NA,  multi crystal Si Europe,","Chinese SG-Si production, multi crystal Si China,","sc-crystallization, single crystal Si NA","mc-casting, multi crystal Si Europe","wafer production, sc, single crystal Si NA","wafer production, mc, multi crystal Si Europe ","Chinese mc-casting and wafer production, mc, multi crystal Si China,","cell production, sc, single crystal Si NA","cell production, mc, multi crystal Si Europe","Chinese cell production, mc, multi crystal Si China,","panel production, sc, single crystal Si NA","panel production, mc, multi crystal Si Europe","Chinese
panel production, mc, per unit","Chinese panel production, mc, per m2, multi crystal Si China,","laminate production, CdTe, Malaysia, CdTe NA","laminate production, CdTe,
US","laminate production, CIGS, CIGS NA","panel production, CIGS, CIGS NA","inverter, 2,5kW,  rootop, typical tilt,  rooftop, optimal tilt","inverter, 500kW, utility, fixed tilt, utility, 1-axis tracking","electric installation, 3kWp plant,  rootop, typical tilt,  rooftop, optimal tilt","electric installation, 570kWp plant, utility, fixed tilt","electric installation, 570kWp plant, tracking, utility, 1-axis tracking","slanted-roof construction, mounted, on roof,  rootop, typical tilt,  rooftop, optimal tilt","mounting, open ground, fixed-tilt, utility, fixed tilt","mounting, open ground, tracking, utility, 1-axis tracking","installation,rooftop, 3kWp,  rootop, typical tilt,  rooftop, optimal tilt","installation,open ground, 570kWp, utility, fixed tilt, utility, 1-axis tracking","operation, rooftop, 3kWp,  rootop, typical tilt,  rooftop, optimal tilt","operation, open ground, 570kWp, utility, fixed tilt, utility, 1-axis tracking"
1,energy & fuel,electricity. medium voltage. at grid,kWh,,11,12.5,110,125,85.6,15.5,25.7,20.8,0.686,14.4,14.4,0.826,3.73,3.73,34,17.5257732,30.2,29.5,44.7,,21.2,4580,,,,,,,0.23,36,,
2,energy & fuel,heat. at cogen 1MWe lean burn. allocation by exergy,MJ,0.2,,,185,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
3,energy & fuel. reducing agent,petroleum coke. at refinery,kg,,0.5,0.6,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
4,energy & fuel. reducing agent,hard coal coke. at plant,MJ,,23.1,27.5,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
5,energy & fuel. reducing agent,charcoal. at plant,kg,,0.17,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
6,energy & fuel. reducing agent,wood chips. mixed. u=120%. at forest,kg,,1.35,0.07144536,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
7,energy & fuel,natural gas. burned in industrial furnace low-Nox >100kW,MJ,,,,,,68.2,,4,4,,0.0608,0.247,,,,,0,,11.6,,,,,,,,,,,,,,
8,energy & fuel,light fuel oil. burned in industrial furnace 1MW. non-modulating,MJ,,,,,,,,,,,,0.0027,,,,,0,,,,15.5,,,,,,,,,,,,
9,energy & fuel,diesel. burned in building machine,MJ,,,,,,,,,,,,,,0.00875,0.00875,,0,,,,,,,,,,,,,,7670,,
10,water,water. cooling. unspecified natural origin,m3,,,0.12,,0.471,5.09,0.943,,,,,,,,,,0,,,,,,,,,,,,,,,,
11,water,water. deionized. at plant,kg,,,,,,4.01,,18,,,,,,,,,0,,,,,,,,,,,,,,,,
