Steel Type,activity,flow_source,flows,value,unit,direction,type,source,data location,comment
virgin steel  BF-BOF (galvanized steel assumed here),total,iron ore,iron ore,1.245763074,kg/kg,input,mass,GREET,C.Iron tab A13,"""Primary variable"""
virgin steel  BF-BOF (galvanized steel assumed here),total,resid oil,resid oil,1.423560565,MJ/kg,input,energy,GREET,C.Iron tab A13,
virgin steel  BF-BOF (galvanized steel assumed here),total,gasoline,gasoline,0,MJ/kg,input,energy,GREET,C.Iron tab A13,
virgin steel  BF-BOF (galvanized steel assumed here),total,diesel,diesel,0,MJ/kg,input,energy,GREET,C.Iron tab A13,
virgin steel  BF-BOF (galvanized steel assumed here),total,natural gas,natural gas,1.201962863,MJ/kg,input,energy,GREET,C.Iron tab A13,
virgin steel  BF-BOF (galvanized steel assumed here),total,coal,coal,19.48044388,MJ/kg,input,energy,GREET,C.Iron tab A13,
virgin steel  BF-BOF (galvanized steel assumed here),total,electricity,electricity,5.807567245,MJ/kg,input,energy,GREET,C.Iron tab A13,
virgin steel  BF-BOF (galvanized steel assumed here),total,coke,coke,-2.438125847,MJ/kg,input,energy,GREET,C.Iron tab A13,
virgin steel  BF-BOF (galvanized steel assumed here),total,tar,tar,-1.752134395,MJ/kg,input,energy,GREET,C.Iron tab A13,
virgin steel  BF-BOF (galvanized steel assumed here),total,benzole,benzole,-0.673100677,MJ/kg,input,energy,GREET,C.Iron tab A13,
virgin steel  BF-BOF (galvanized steel assumed here),total,blast furnace gas,blast furnace gas,0.288078423,MJ/kg,input,energy,GREET,C.Iron tab A13,
virgin steel  BF-BOF (galvanized steel assumed here),total,coke over gas,coke over gas,1.753776427,MJ/kg,input,energy,GREET,C.Iron tab A13,
virgin steel  BF-BOF (galvanized steel assumed here),total,limestone,limestone,0.056615715,kg/kg,input,mass,GREET,C.Iron tab A13,
virgin steel  BF-BOF (galvanized steel assumed here),total,lime,lime,0.068243127,kg/kg,input,mass,GREET,C.Iron tab A13,
virgin steel  BF-BOF (galvanized steel assumed here),total,electricity,voc,8.28E-05,kg/kg,output,mass,GREET,C.Iron tab A13 and Electric tab B220 & C220 for electricity emissions calculation,
virgin steel  BF-BOF (galvanized steel assumed here),total,electricity,co,0.0002624,kg/kg,output,mass,GREET,C.Iron tab A13 and Electric tab B220 & C220 for electricity emissions calculation,
virgin steel  BF-BOF (galvanized steel assumed here),total,electricity,nox,0.000514006,kg/kg,output,mass,GREET,C.Iron tab A13 and Electric tab B220 & C220 for electricity emissions calculation,
virgin steel  BF-BOF (galvanized steel assumed here),total,electricity,pm10,9.23E-05,kg/kg,output,mass,GREET,C.Iron tab A13 and Electric tab B220 & C220 for electricity emissions calculation,
virgin steel  BF-BOF (galvanized steel assumed here),total,electricity,pm2.5,4.00E-05,kg/kg,output,mass,GREET,C.Iron tab A13 and Electric tab B220 & C220 for electricity emissions calculation,
virgin steel  BF-BOF (galvanized steel assumed here),total,electricity,sox,0.00126416,kg/kg,output,mass,GREET,C.Iron tab A13 and Electric tab B220 & C220 for electricity emissions calculation,
virgin steel  BF-BOF (galvanized steel assumed here),total,electricity,bc,3.29E-06,kg/kg,output,mass,GREET,C.Iron tab A13 and Electric tab B220 & C220 for electricity emissions calculation,
virgin steel  BF-BOF (galvanized steel assumed here),total,electricity,oc,7.76E-06,kg/kg,output,mass,GREET,C.Iron tab A13 and Electric tab B220 & C220 for electricity emissions calculation,
virgin steel  BF-BOF (galvanized steel assumed here),total,electricity,ch4,0.001452945,kg/kg,output,mass,GREET,C.Iron tab A13 and Electric tab B220 & C220 for electricity emissions calculation,
virgin steel  BF-BOF (galvanized steel assumed here),total,electricity,n2o,1.15E-05,kg/kg,output,mass,GREET,C.Iron tab A13 and Electric tab B220 & C220 for electricity emissions calculation,
virgin steel  BF-BOF (galvanized steel assumed here),total,electricity,co2,0.732541363,kg/kg,output,mass,GREET,C.Iron tab A13 and Electric tab B220 & C220 for electricity emissions calculation,
virgin steel  BF-BOF (galvanized steel assumed here),total,total,voc,0.003470003,kg/kg,output,mass,GREET,C.Iron tab A13,
virgin steel  BF-BOF (galvanized steel assumed here),total,total,co,0.024457526,kg/kg,output,mass,GREET,C.Iron tab A13,
virgin steel  BF-BOF (galvanized steel assumed here),total,total,nox,0.003036515,kg/kg,output,mass,GREET,C.Iron tab A13,
virgin steel  BF-BOF (galvanized steel assumed here),total,total,pm10,0.001784261,kg/kg,output,mass,GREET,C.Iron tab A13,
virgin steel  BF-BOF (galvanized steel assumed here),total,total,pm2.5,0.000844171,kg/kg,output,mass,GREET,C.Iron tab A13,
virgin steel  BF-BOF (galvanized steel assumed here),total,total,sox,0.012519921,kg/kg,output,mass,GREET,C.Iron tab A13,
virgin steel  BF-BOF (galvanized steel assumed here),total,total,bc,1.37E-05,kg/kg,output,mass,GREET,C.Iron tab A13,
virgin steel  BF-BOF (galvanized steel assumed here),total,total,oc,3.02E-05,kg/kg,output,mass,GREET,C.Iron tab A13,
virgin steel  BF-BOF (galvanized steel assumed here),total,total,ch4,0.004995992,kg/kg,output,mass,GREET,C.Iron tab A13,
virgin steel  BF-BOF (galvanized steel assumed here),total,total,n2o,0.005027923,kg/kg,output,mass,GREET,C.Iron tab A13,
virgin steel  BF-BOF (galvanized steel assumed here),total,total,co2,3.058526804,kg/kg,output,mass,GREET,C.Iron tab A13,
recycled steel,total,resid oil,resid oil,0,MJ/kg,input,energy,GREET,C.Iron tab A13,
recycled steel,total,gasoline,gasoline,0,MJ/kg,input,energy,GREET,C.Iron tab A13,
recycled steel,total,diesel,diesel,0,MJ/kg,input,energy,GREET,C.Iron tab A13,
recycled steel,total,natural gas,natural gas,3.951322716,MJ/kg,input,energy,GREET,C.Iron tab A13,
recycled steel,total,coal,coal,0,MJ/kg,input,energy,GREET,C.Iron tab A13,
recycled steel,total,electricity,electricity,7.937410295,MJ/kg,input,energy,GREET,C.Iron tab A13,
recycled steel,total,coke,coke,0.206454072,MJ/kg,input,energy,GREET,C.Iron tab A13,
recycled steel,total,tar,tar,0,MJ/kg,input,energy,GREET,C.Iron tab A13,
recycled steel,total,benzole,benzole,0,MJ/kg,input,energy,GREET,C.Iron tab A13,
recycled steel,total,blast furnace gas,blast furnace gas,0,MJ/kg,input,energy,GREET,C.Iron tab A13,
recycled steel,total,coke over gas,coke over gas,0,MJ/kg,input,energy,GREET,C.Iron tab A13,
recycled steel,total,limestone,limestone,0,kg/kg,input,mass,GREET,C.Iron tab A13,
recycled steel,total,lime,lime,0,kg/kg,input,mass,GREET,C.Iron tab A13,
recycled steel,total,electricity,voc,0.00011318,kg/kg,output,mass,GREET,C.Iron tab A13 and Electric tab B220 & C220 for electricity emissions calculation,
recycled steel,total,electricity,co,0.000358631,kg/kg,output,mass,GREET,C.Iron tab A13 and Electric tab B220 & C220 for electricity emissions calculation,
recycled steel,total,electricity,nox,0.00070251,kg/kg,output,mass,GREET,C.Iron tab A13 and Electric tab B220 & C220 for electricity emissions calculation,
recycled steel,total,electricity,pm10,0.000126182,kg/kg,output,mass,GREET,C.Iron tab A13 and Electric tab B220 & C220 for electricity emissions calculation,
recycled steel,total,electricity,pm2.5,5.47E-05,kg/kg,output,mass,GREET,C.Iron tab A13 and Electric tab B220 & C220 for electricity emissions calculation,
recycled steel,total,electricity,sox,0.001727773,kg/kg,output,mass,GREET,C.Iron tab A13 and Electric tab B220 & C220 for electricity emissions calculation,
recycled steel,total,electricity,bc,4.49E-06,kg/kg,output,mass,GREET,C.Iron tab A13 and Electric tab B220 & C220 for electricity emissions calculation,
