Turbine Model,lowest (6 m/s),low (7 m/s),medium (8 m/s),high (9 m/s),highest (9.8 m/s),LCA reference CF,LCA reference tower height (m),LCA reference lifetime (years),LCA reference distance to grid (km),total (avoided burden),total (avoided burden)-EOL,total (recycled content),manufacturing,installation,operation,EOL,foundation prod. (incl. substructure if offshore),tower prod.,hub prod. ,"nacelle prod. (incl. generator, gear, shaft)",blades prod.,cables prod.,other GHGs,"max Cp, in SAM approximation","max tip speed, in SAM approximation","max tip speed ratio, in SAM approximation","cut-in wind speed, in SAM approximation","cut-out wind speed, in SAM approximation"
SWT 108-2.3,29.8,41.2,47,54.2,56.2,0.496,99.5,20,13,5,6.25,,5.8125,0.3125,0.125,-1.25,1.1625,2.266875,0.2325,0.58125,0.93,0.406875,0.2325,,,,,
SWT 154-6,,,39.3,47.6,51.1,0.504,88,25,72,7,8.536585366,,6.402439024,1.024390244,1.109756098,-1.536585366,2.49695122,1.088414634,0.320121951,0.704268293,0.704268293,0.896341463,0.19207317,0.45,89,8,4,25
SWT 154-7,,,36.7,44.1,48,0.473,88,25,72,6,7.407407407,,5.62962963,0.888888889,0.888888889,-1.407407407,2.139259259,0.957037037,0.281481481,0.675555556,0.619259259,0.788148148,0.168888888,0.45,89,8,4,25
SWT 130-4,,,40.4,49.1,52.3,0.5136,68,20,52,10,12.04819277,,9.277108434,1.686746988,1.56626506,-2.048192771,4.13373494,1.143373494,0.263855422,0.703614458,1.055421687,1.143373494,0.351807,0.45,89,8,4,25
SWT 108-2.3 (MC),29.8,41.2,47,54.2,56.2,0.496,99.5,20,13,5,6.25,0,5.8125,0.3125,0.125,-1.25,1.1625,2.266875,0.2325,0.58125,0.93,0.406875,0.2325,0,0,0,0,0
SWT 154-6 (MC),0,0,39.3,47.6,51.1,0.504,88,25,72,7,8.536585366,0,6.402439024,1.024390244,1.109756098,-1.536585366,2.49695122,1.088414634,0.320121951,0.704268293,0.704268293,0.896341463,0.19207317,0.45,89,8,4,25
Vestas 100-1.8,30.1,41.4,47.2,54.4,56.5,0.42535515,80,20,20,9.3,13.4,,12.7,0.2,0.5,-4.1,1.206,3.484,0.5,2.144,2.01,2.546,0.81,,,,,
Vestas 82-1.65,28.1,38.1,44.6,51.1,53.5,0.389995849,78,20,50,,,,,,,,,,,,,,,,,,,
Vestas 112-3,24.8,35.9,44,49.8,54,0.4,84,20,50,7,9,,8.27,0.25,0.47,-2,0.765,2.61,0.63,1.98,1.44,0.72,0.135,,,,,
Vestas 90-3,14.9,23.1,33.1,36.7,42.2,0.413127854,80,20,20,6.2,8.2,6.82,7.6,0.2,0.4,-2,1.23,2.132,0.5412,1.394,0.82,0.574,0.9088,,,,,
Vestas 110-2,32.6,43.8,48.9,56.3,58.1,0.431906393,80,20,20,7.2,10.2,9,9.7,0.2,0.3,-3,1.53,2.958,0.51,1.734,1.224,0.816,0.928,,,,,
Vestas 100-2,28,39.4,46.2,52.7,55.9,0.479509132,80,20,20,6.25,8.75,7.8125,8.3,0.15,0.3,-2.5,1.3125,2.3625,0.473958333,1.4875,1.1375,0.7,0.82604167,,,,,
Vestas 100-1.8 (MC),30.1,41.4,47.2,54.4,56.5,0.42535515,80,20,20,9.3,13.4,0,12.7,0.2,0.5,-4.1,1.206,3.484,0.5,2.144,2.01,2.546,0.81,0,0,0,0,0
Vestas 90-3 (MC),14.9,23.1,33.1,36.7,42.2,0.413127854,80,20,20,6.2,8.2,6.82,7.6,0.2,0.4,-2,1.23,2.132,0.5412,1.394,0.82,0.574,0.9088,0,0,0,0,0
Vestas 110-2 (MC),32.6,43.8,48.9,56.3,58.1,0.431906393,80,20,20,7.2,10.2,9,9.7,0.2,0.3,-3,1.53,2.958,0.51,1.734,1.224,0.816,0.928,0,0,0,0,0
Vestas 100-2 (MC),28,39.4,46.2,52.7,55.9,0.479509132,80,20,20,6.25,8.75,7.8125,8.3,0.15,0.3,-2.5,1.3125,2.3625,0.473958333,1.4875,1.1375,0.7,0.82604167,0,0,0,0,0
Typical Onshore md-spd,,,44.77,,,0.45,86.14,20,22.29,6.56,8.86,5.91,8.31,0.23,0.32,-2.3,1.2,2.58,0.45,1.41,1.21,0.88,0.58,0,0,0,0,0
Typical Onshore lo-spd,30.13,41.45,,,,0.46,84.88,20,18.25,6.94,9.65,5.6,9.13,0.22,0.31,-2.71,1.3,2.77,0.43,1.49,1.33,1.12,0.7,0,0,0,0,0
Typical Onshore hi-spd,,,,49.56,52.96,0.44,84.7,20,24.6,6.75,9.12,4.88,8.54,0.22,0.36,-2.37,1.14,2.57,0.48,1.52,1.27,0.99,0.58,0,0,0,0,0
Typical Offshore,,,38.8,46.93,50.47,0.5,81.33,23.33,65.33,7.67,9.33,#DIV/0!,7.1,1.2,1.19,-1.66,2.92,1.06,0.29,0.69,0.79,0.94,0.24,0.45,89,8,4,25
