activity,flow_source,flows,value,unit,direction,type,source,data location,comment
total,resid oil,resid oil,0.003266785,MJ/kg,input,energy,GREET,Cemment_Concrete tab A29,
total,diesel,diesel,0.010835786,MJ/kg,input,energy,GREET,Cemment_Concrete tab A29,
total,gasoline,gasoline,0.000667593,MJ/kg,input,energy,GREET,Cemment_Concrete tab A29,
total,lpg,lpg,0,MJ/kg,input,energy,GREET,Cemment_Concrete tab A29,
total,pet coke,pet coke,0.066673858,MJ/kg,input,energy,GREET,Cemment_Concrete tab A29,
total,natural gas,natural gas,0.061197235,MJ/kg,input,energy,GREET,Cemment_Concrete tab A29,
total,coal,coal,0.15155432,MJ/kg,input,energy,GREET,Cemment_Concrete tab A29,
total,waste,waste,0.017147294,MJ/kg,input,energy,GREET,Cemment_Concrete tab A29,
total,tire derived fuel,tire derived fuel,0.015267898,MJ/kg,input,energy,GREET,Cemment_Concrete tab A29,
total,solvents,solvents,0.019355336,MJ/kg,input,energy,GREET,Cemment_Concrete tab A29,
total,waste oil,waste oil,0.002781644,MJ/kg,input,energy,GREET,Cemment_Concrete tab A29,
total,renewables,renewables,0.002746104,MJ/kg,input,energy,GREET,Cemment_Concrete tab A29,
total,electricity,electricity,0.051326482,MJ/kg,input,energy,GREET,Cemment_Concrete tab A29,
total,electricity,voc,7.31869E-07,kg/kg,output,mass,GREET,Cemment_Concrete tab A29 and Electric tab B220 & C220 for electricity emissions calculation,
total,electricity,co,2.31905E-06,kg/kg,output,mass,GREET,Cemment_Concrete tab A29 and Electric tab B220 & C220 for electricity emissions calculation,
total,electricity,nox,4.54271E-06,kg/kg,output,mass,GREET,Cemment_Concrete tab A29 and Electric tab B220 & C220 for electricity emissions calculation,
total,electricity,pm10,8.15946E-07,kg/kg,output,mass,GREET,Cemment_Concrete tab A29 and Electric tab B220 & C220 for electricity emissions calculation,
total,electricity,pm2.5,3.53534E-07,kg/kg,output,mass,GREET,Cemment_Concrete tab A29 and Electric tab B220 & C220 for electricity emissions calculation,
total,electricity,sox,1.11725E-05,kg/kg,output,mass,GREET,Cemment_Concrete tab A29 and Electric tab B220 & C220 for electricity emissions calculation,
total,electricity,bc,2.90351E-08,kg/kg,output,mass,GREET,Cemment_Concrete tab A29 and Electric tab B220 & C220 for electricity emissions calculation,
