Crude Type,Crude Sub-Type,Count Emissions from Building Well Infrastructure,flow_source,flows,value,unit,direction,type,source,data location,comment
Conventional Crude,,no,,crude oil / sco,0.000203798,MJ/MJ,input,energy,GREET,Petroleum tab Row 106-122 for US crude oil,
Conventional Crude,,no,,residual oil,0.000203798,MJ/MJ,input,energy,GREET,Petroleum tab Row 106-122 for US crude oil,
Conventional Crude,,no,,diesel fuel,0.003056964,MJ/MJ,input,energy,GREET,Petroleum tab Row 106-122 for US crude oil,
Conventional Crude,,no,,gasoline,0.000407595,MJ/MJ,input,energy,GREET,Petroleum tab Row 106-122 for US crude oil,
Conventional Crude,,no,,natural gas,0.012635452,MJ/MJ,input,energy,GREET,Petroleum tab Row 106-122 for US crude oil,
Conventional Crude,,no,,coal,0,MJ/MJ,input,energy,GREET,Petroleum tab Row 106-122 for US crude oil,
Conventional Crude,,no,,liquefied petroleum gas,0,MJ/MJ,input,energy,GREET,Petroleum tab Row 106-122 for US crude oil,
Conventional Crude,,no,,electricity,0.003872155,MJ/MJ,input,energy,GREET,Petroleum tab Row 106-122 for US crude oil,
Conventional Crude,,no,,hydrogen,0,MJ/MJ,input,energy,GREET,Petroleum tab Row 106-122 for US crude oil,
Conventional Crude,,no,,petcoke,0,MJ/MJ,intermediate,energy,GREET,Petroleum tab Row 106-122 for US crude oil,
Conventional Crude,,no,,butane,0,MJ/MJ,intermediate,energy,GREET,Petroleum tab Row 106-122 for US crude oil,
Conventional Crude,,no,,blendstock,0,MJ/MJ,intermediate,energy,GREET,Petroleum tab Row 106-122 for US crude oil,
Conventional Crude,,no,,gtl,0,MJ/MJ,intermediate,energy,GREET,Petroleum tab Row 106-122 for US crude oil,
Conventional Crude,,no,,produced gas,0,MJ/MJ,intermediate,energy,GREET,Petroleum tab Row 106-122 for US crude oil,
Conventional Crude,,no,,refinery still gas,0,MJ/MJ,intermediate,energy,GREET,Petroleum tab Row 106-122 for US crude oil,
Conventional Crude,,no,,diluent flared,0,MJ/MJ,intermediate,energy,GREET,Petroleum tab Row 106-122 for US crude oil,
Conventional Crude,,no,,natural gas flared,0,MJ/MJ,intermediate,energy,GREET,Petroleum tab Row 106-122 for US crude oil,
Conventional Crude,,no,electricity,voc,5.52E-08,kg/MJ,output,mass,GREET,"See ""co2 from electricity"" flow",
Conventional Crude,,no,electricity,co,1.75E-07,kg/MJ,output,mass,GREET,"See ""co2 from electricity"" flow",
Conventional Crude,,no,electricity,nox,3.43E-07,kg/MJ,output,mass,GREET,"See ""co2 from electricity"" flow",
Conventional Crude,,no,electricity,pm10,6.16E-08,kg/MJ,output,mass,GREET,"See ""co2 from electricity"" flow",
Conventional Crude,,no,electricity,pm2.5,2.67E-08,kg/MJ,output,mass,GREET,"See ""co2 from electricity"" flow",
Conventional Crude,,no,electricity,sox,8.43E-07,kg/MJ,output,mass,GREET,"See ""co2 from electricity"" flow",
Conventional Crude,,no,electricity,bc,2.19E-09,kg/MJ,output,mass,GREET,"See ""co2 from electricity"" flow",
Conventional Crude,,no,electricity,oc,5.17E-09,kg/MJ,output,mass,GREET,"See ""co2 from electricity"" flow",
Conventional Crude,,no,electricity,ch4,9.69E-07,kg/MJ,output,mass,GREET,"See ""co2 from electricity"" flow",
Conventional Crude,,no,electricity,n2o,7.65E-09,kg/MJ,output,mass,GREET,"See ""co2 from electricity"" flow",
Conventional Crude,,no,electricity,co2,0.000488443,kg/MJ,output,mass,GREET,Petroleum tab Row 113 for crude and Electric tab B220 and C220,
Conventional Crude,,no,total,voc,1.26E-06,kg/MJ,output,mass,GREET,"See ""co2"" flow",
Conventional Crude,,no,total,co,6.55E-06,kg/MJ,output,mass,GREET,"See ""co2"" flow",
Conventional Crude,,no,total,nox,9.50E-06,kg/MJ,output,mass,GREET,"See ""co2"" flow",
Conventional Crude,,no,total,pm10,2.75E-07,kg/MJ,output,mass,GREET,"See ""co2"" flow",
Conventional Crude,,no,total,pm2.5,2.17E-07,kg/MJ,output,mass,GREET,"See ""co2"" flow",
Conventional Crude,,no,total,sox,1.23E-06,kg/MJ,output,mass,GREET,"See ""co2"" flow",
Conventional Crude,,no,total,bc,8.38E-08,kg/MJ,output,mass,GREET,"See ""co2"" flow",
Conventional Crude,,no,total,oc,5.95E-08,kg/MJ,output,mass,GREET,"See ""co2"" flow",
Conventional Crude,,no,total,ch4_combustion,6.37E-06,kg/MJ,output,mass,GREET,"See ""co2"" flow",
Conventional Crude,,no,total,n2o,3.11E-08,kg/MJ,output,mass,GREET,"See ""co2"" flow",
Conventional Crude,,no,total,co2,0.002616473,kg/MJ,output,mass,GREET,Petroleum tab Row 141 for US crude oil,
Conventional Crude,,no,total,ch4_non-combustion,7.58E-05,kg/MJ,output,mass,GREET,"See ""co2"" flow",
Oil Sand,Surface Mining + Bitumen,no,,crude oil / sco,0.021404,MJ/MJ,input,energy,GREET,Petroleum tab Row 106-122 for oil sands,
Oil Sand,Surface Mining + Bitumen,no,,residual oil,0,MJ/MJ,input,energy,GREET,Petroleum tab Row 106-122 for oil sands,
Oil Sand,Surface Mining + Bitumen,no,,diesel fuel,0,MJ/MJ,input,energy,GREET,Petroleum tab Row 106-122 for oil sands,
Oil Sand,Surface Mining + Bitumen,no,,gasoline,0,MJ/MJ,input,energy,GREET,Petroleum tab Row 106-122 for oil sands,
Oil Sand,Surface Mining + Bitumen,no,,natural gas,0.058332,MJ/MJ,input,energy,GREET,Petroleum tab Row 106-122 for oil sands,
Oil Sand,Surface Mining + Bitumen,no,,coal,0,MJ/MJ,input,energy,GREET,Petroleum tab Row 106-122 for oil sands,
Oil Sand,Surface Mining + Bitumen,no,,liquefied petroleum gas,0,MJ/MJ,input,energy,GREET,Petroleum tab Row 106-122 for oil sands,
Oil Sand,Surface Mining + Bitumen,no,,electricity,-0.004144,MJ/MJ,input,energy,GREET,Petroleum tab Row 106-122 for oil sands,
