Type,Location,Efficiency,Source,Comments,flows,value,unit,direction,type,data location
Conventional Oil,US,98%,GREET ,EIA projection;API - 34.8;S cont- 1.4,natural gas,0.021057960541825748,MJ/MJ,input,energy,Petroleum tab-A81:E144
Conventional Oil,US,98%,GREET ,EIA projection;API - 34.8;S cont- 1.4,co,6.547623620939415e-06,kg/MJ,output,mass,Petroleum tab-A81:E144
Conventional Oil,US,98%,GREET ,EIA projection;API - 34.8;S cont- 1.4,oc,5.9449528156226394e-08,kg/MJ,output,mass,Petroleum tab-A81:E144
Conventional Oil,US,98%,GREET ,EIA projection;API - 34.8;S cont- 1.4,petroleum,0.004259926784878168,MJ/MJ,input,energy,Petroleum tab-A81:E144
Conventional Oil,US,98%,GREET ,EIA projection;API - 34.8;S cont- 1.4,bc,8.380892016398348e-08,kg/MJ,output,mass,Petroleum tab-A81:E144
Conventional Oil,US,98%,GREET ,EIA projection;API - 34.8;S cont- 1.4,sox,1.2273168014136021e-06,kg/MJ,output,mass,Petroleum tab-A81:E144
Conventional Oil,US,98%,GREET ,EIA projection;API - 34.8;S cont- 1.4,ch4,8.219100975021519e-05,kg/MJ,output,mass,Petroleum tab-A81:E144
Conventional Oil,US,98%,GREET ,EIA projection;API - 34.8;S cont- 1.4,nox,9.501239433262475e-06,kg/MJ,output,mass,Petroleum tab-A81:E144
Conventional Oil,US,98%,GREET ,EIA projection;API - 34.8;S cont- 1.4,pm2.5,2.169606657617764e-07,kg/MJ,output,mass,Petroleum tab-A81:E144
Conventional Oil,US,98%,GREET ,EIA projection;API - 34.8;S cont- 1.4,co2,0.002616323983424242,kg/MJ,output,mass,Petroleum tab-A81:E144
Conventional Oil,US,98%,GREET ,EIA projection;API - 34.8;S cont- 1.4,pm10,2.7469799553116464e-07,kg/MJ,output,mass,Petroleum tab-A81:E144
Conventional Oil,US,98%,GREET ,EIA projection;API - 34.8;S cont- 1.4,n2o,3.111560143968841e-08,kg/MJ,output,mass,Petroleum tab-A81:E144
