activity,flow_source,flows,value,unit,direction,type,source,data location,comment
total,resid oil,resid oil,0.213744824,MJ/kg,input,energy,GREET,Steel tab A33,
total,gasoline,gasoline,0.002504822,MJ/kg,input,energy,GREET,Steel tab A33,
total,diesel,diesel,0.032980158,MJ/kg,input,energy,GREET,Steel tab A33,
total,natural gas,natural gas,0.225851464,MJ/kg,input,energy,GREET,Steel tab A33,
total,coal,coal,0,MJ/kg,input,energy,GREET,Steel tab A33,
total,electricity,electricity,1.612270528,MJ/kg,input,energy,GREET,Steel tab A33,
total,electricity,voc,2.29895E-05,kg/kg,output,mass,GREET,Steel tab A33 and Electric tab B220 & C220 for electricity emissions calculation,
total,electricity,co,7.28463E-05,kg/kg,output,mass,GREET,Steel tab A33 and Electric tab B220 & C220 for electricity emissions calculation,
total,electricity,nox,0.000142696,kg/kg,output,mass,GREET,Steel tab A33 and Electric tab B220 & C220 for electricity emissions calculation,
total,electricity,pm10,2.56306E-05,kg/kg,output,mass,GREET,Steel tab A33 and Electric tab B220 & C220 for electricity emissions calculation,
total,electricity,pm2.5,1.11052E-05,kg/kg,output,mass,GREET,Steel tab A33 and Electric tab B220 & C220 for electricity emissions calculation,
total,electricity,sox,0.00035095,kg/kg,output,mass,GREET,Steel tab A33 and Electric tab B220 & C220 for electricity emissions calculation,
total,electricity,bc,9.12053E-07,kg/kg,output,mass,GREET,Steel tab A33 and Electric tab B220 & C220 for electricity emissions calculation,
total,electricity,oc,2.15291E-06,kg/kg,output,mass,GREET,Steel tab A33 and Electric tab B220 & C220 for electricity emissions calculation,
total,electricity,ch4,0.00040336,kg/kg,output,mass,GREET,Steel tab A33 and Electric tab B220 & C220 for electricity emissions calculation,
total,electricity,n2o,3.18689E-06,kg/kg,output,mass,GREET,Steel tab A33 and Electric tab B220 & C220 for electricity emissions calculation,
total,electricity,co2,0.203364817,kg/kg,output,mass,GREET,Steel tab A33 and Electric tab B220 & C220 for electricity emissions calculation,
total,total,voc,3.0143E-05,kg/kg,output,mass,GREET,Steel tab A33,
total,total,co,0.000103209,kg/kg,output,mass,GREET,Steel tab A33,
total,total,nox,0.000207891,kg/kg,output,mass,GREET,Steel tab A33,
total,total,pm10,3.47629E-05,kg/kg,output,mass,GREET,Steel tab A33,
total,total,pm2.5,1.62629E-05,kg/kg,output,mass,GREET,Steel tab A33,
total,total,sox,0.000494531,kg/kg,output,mass,GREET,Steel tab A33,
total,total,bc,1.76181E-06,kg/kg,output,mass,GREET,Steel tab A33,
total,total,oc,2.92143E-06,kg/kg,output,mass,GREET,Steel tab A33,
total,total,ch4,0.00047581,kg/kg,output,mass,GREET,Steel tab A33,
total,total,n2o,4.10453E-06,kg/kg,output,mass,GREET,Steel tab A33,
total,total,co2,0.239763694,kg/kg,output,mass,GREET,Steel tab A33,
