Uranium Use Type,activity,flow_source,flows,value,unit,direction,type,Source,comment,data location
LWR,Uranium Mining,diesel,diesel,47390.61112,MJ/kg,input,energy,GREET,,Uranium tab Row 50-55
LWR,Uranium Mining,gasoline,gasoline,14323.28172,MJ/kg,input,energy,GREET,,Uranium tab Row 50-55
LWR,Uranium Mining,natural gas,natural gas,70555.42477,MJ/kg,input,energy,GREET,,Uranium tab Row 50-55
LWR,Uranium Mining,electricity,electricity,44561.32091,MJ/kg,input,energy,GREET,,Uranium tab Row 50-55
LWR,Uranium Mining,electricity,voc,0.635401474,kg/kg,output,mass,GREET,,"See ""co2 from electricity"" flow"
LWR,Uranium Mining,electricity,co,2.013380437,kg/kg,output,mass,GREET,,"See ""co2 from electricity"" flow"
LWR,Uranium Mining,electricity,nox,3.943936224,kg/kg,output,mass,GREET,,"See ""co2 from electricity"" flow"
LWR,Uranium Mining,electricity,pm10,0.708396671,kg/kg,output,mass,GREET,,"See ""co2 from electricity"" flow"
LWR,Uranium Mining,electricity,pm2.5,0.306935044,kg/kg,output,mass,GREET,,"See ""co2 from electricity"" flow"
LWR,Uranium Mining,electricity,sox,9.699832479,kg/kg,output,mass,GREET,,"See ""co2 from electricity"" flow"
LWR,Uranium Mining,electricity,bc,0.025208,kg/kg,output,mass,GREET,,"See ""co2 from electricity"" flow"
LWR,Uranium Mining,electricity,oc,0.059503863,kg/kg,output,mass,GREET,,"See ""co2 from electricity"" flow"
LWR,Uranium Mining,electricity,ch4,11.14836788,kg/kg,output,mass,GREET,,"See ""co2 from electricity"" flow"
LWR,Uranium Mining,electricity,n2o,0.088081525,kg/kg,output,mass,GREET,,"See ""co2 from electricity"" flow"
LWR,Uranium Mining,electricity,co2,5620.74979,kg/kg,output,mass,GREET,,Uranium tab Row 55 and Electric tab B220 and C220
LWR,Uranium Mining,total,voc,14.76009016,kg/kg,output,mass,GREET,,Uranium tab Row 64-74
LWR,Uranium Mining,total,co,60.14416532,kg/kg,output,mass,GREET,,Uranium tab Row 64-74
LWR,Uranium Mining,total,nox,74.46388832,kg/kg,output,mass,GREET,,Uranium tab Row 64-74
LWR,Uranium Mining,total,pm10,3.254392804,kg/kg,output,mass,GREET,,Uranium tab Row 64-74
LWR,Uranium Mining,total,pm2.5,2.514329455,kg/kg,output,mass,GREET,,Uranium tab Row 64-74
LWR,Uranium Mining,total,sox,11.12509819,kg/kg,output,mass,GREET,,Uranium tab Row 64-74
LWR,Uranium Mining,total,bc,0.861304998,kg/kg,output,mass,GREET,,Uranium tab Row 64-74
LWR,Uranium Mining,total,oc,0.676055032,kg/kg,output,mass,GREET,,Uranium tab Row 64-74
LWR,Uranium Mining,total,ch4,45.73778275,kg/kg,output,mass,GREET,,Uranium tab Row 64-74
LWR,Uranium Mining,total,n2o,0.252391496,kg/kg,output,mass,GREET,,Uranium tab Row 64-74
LWR,Uranium Mining,total,co2,15238.77464,kg/kg,output,mass,GREET,,Uranium tab Row 64-74
LWR,Uranium Ore Transportation,total,voc,0.011942012,kg/kg,output,mass,GREET,,Uranium tab Row 64-74
LWR,Uranium Ore Transportation,total,co,0.035186837,kg/kg,output,mass,GREET,,Uranium tab Row 64-74
LWR,Uranium Ore Transportation,total,nox,0.084122652,kg/kg,output,mass,GREET,,Uranium tab Row 64-74
LWR,Uranium Ore Transportation,total,pm10,0.00321526,kg/kg,output,mass,GREET,,Uranium tab Row 64-74
LWR,Uranium Ore Transportation,total,pm2.5,0.001838763,kg/kg,output,mass,GREET,,Uranium tab Row 64-74
LWR,Uranium Ore Transportation,total,sox,0.004529814,kg/kg,output,mass,GREET,,Uranium tab Row 64-74
LWR,Uranium Ore Transportation,total,bc,0.000206824,kg/kg,output,mass,GREET,,Uranium tab Row 64-74
LWR,Uranium Ore Transportation,total,oc,0.000363604,kg/kg,output,mass,GREET,,Uranium tab Row 64-74
LWR,Uranium Ore Transportation,total,ch4,0.055247394,kg/kg,output,mass,GREET,,Uranium tab Row 64-74
LWR,Uranium Ore Transportation,total,n2o,0.000141755,kg/kg,output,mass,GREET,,Uranium tab Row 64-74
LWR,Uranium Ore Transportation,total,co2,39.37533932,kg/kg,output,mass,GREET,,Uranium tab Row 64-74
LWR,Uranium Enrichment,electricity,electricity,224141.6785,MJ/kg,input,energy,GREET,,Uranium tab Row 50-55
LWR,Uranium Enrichment,electricity,voc,3.196044235,kg/kg,output,mass,GREET,,"See ""co2 from electricity"" flow"
LWR,Uranium Enrichment,electricity,co,10.12722382,kg/kg,output,mass,GREET,,"See ""co2 from electricity"" flow"
LWR,Uranium Enrichment,electricity,nox,19.83784294,kg/kg,output,mass,GREET,,"See ""co2 from electricity"" flow"
LWR,Uranium Enrichment,electricity,pm10,3.563207188,kg/kg,output,mass,GREET,,"See ""co2 from electricity"" flow"
LWR,Uranium Enrichment,electricity,pm2.5,1.543871111,kg/kg,output,mass,GREET,,"See ""co2 from electricity"" flow"
LWR,Uranium Enrichment,electricity,sox,48.78977303,kg/kg,output,mass,GREET,,"See ""co2 from electricity"" flow"
LWR,Uranium Enrichment,electricity,bc,0.126795242,kg/kg,output,mass,GREET,,"See ""co2 from electricity"" flow"
LWR,Uranium Enrichment,electricity,oc,0.299302074,kg/kg,output,mass,GREET,,"See ""co2 from electricity"" flow"
LWR,Uranium Enrichment,electricity,ch4,56.07584871,kg/kg,output,mass,GREET,,"See ""co2 from electricity"" flow"
LWR,Uranium Enrichment,electricity,n2o,0.443046582,kg/kg,output,mass,GREET,,"See ""co2 from electricity"" flow"
LWR,Uranium Enrichment,electricity,co2,28272.14873,kg/kg,output,mass,GREET,,Uranium tab Row 55 and Electric tab B220 and C220
LWR,Uranium Enrichment,total,voc,3.196044235,kg/kg,output,mass,GREET,,Uranium tab Row 64-74
LWR,Uranium Enrichment,total,co,10.12722382,kg/kg,output,mass,GREET,,Uranium tab Row 64-74
LWR,Uranium Enrichment,total,nox,19.83784294,kg/kg,output,mass,GREET,,Uranium tab Row 64-74
LWR,Uranium Enrichment,total,pm10,3.563207188,kg/kg,output,mass,GREET,,Uranium tab Row 64-74
LWR,Uranium Enrichment,total,pm2.5,1.543871111,kg/kg,output,mass,GREET,,Uranium tab Row 64-74
LWR,Uranium Enrichment,total,sox,48.78977303,kg/kg,output,mass,GREET,,Uranium tab Row 64-74
LWR,Uranium Enrichment,total,bc,0.126795242,kg/kg,output,mass,GREET,,Uranium tab Row 64-74
LWR,Uranium Enrichment,total,oc,0.299302074,kg/kg,output,mass,GREET,,Uranium tab Row 64-74
LWR,Uranium Enrichment,total,ch4,56.07584871,kg/kg,output,mass,GREET,,Uranium tab Row 64-74
LWR,Uranium Enrichment,total,n2o,0.443046582,kg/kg,output,mass,GREET,,Uranium tab Row 64-74
LWR,Uranium Enrichment,total,co2,28272.14873,kg/kg,output,mass,GREET,,Uranium tab Row 64-74
LWR,Uranium Conversion Fabricatioin and Waste Storage,natural gas,natural gas,42019.46457,MJ/kg,input,energy,GREET,,Uranium tab Row 50-55
LWR,Uranium Conversion Fabricatioin and Waste Storage,electricity,electricity,22132.38974,MJ/kg,input,energy,GREET,,Uranium tab Row 50-55
LWR,Uranium Conversion Fabricatioin and Waste Storage,electricity,voc,0.315586539,kg/kg,output,mass,GREET,,"See ""co2 from electricity"" flow"
LWR,Uranium Conversion Fabricatioin and Waste Storage,electricity,co,0.999991015,kg/kg,output,mass,GREET,,"See ""co2 from electricity"" flow"
LWR,Uranium Conversion Fabricatioin and Waste Storage,electricity,nox,1.958845291,kg/kg,output,mass,GREET,,"See ""co2 from electricity"" flow"
