State,Generation Region,transport,unit of value,storage,unit of value,source,Note 
US,US,0.05,USD/inch-mile-tCO2,8,$/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,
AL,SERC,0.05,USD/inch-mile-tCO25,7,$/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,
AK,ASCC,0.06,USD/inch-mile-tCO40,7,$/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,
AZ,WECC,0.06,USD/inch-mile-tCO60,7,$/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,
AR,SERC,0.04,USD/inch-mile-tCO79,8,$/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,
CA,WECC,0.06,USD/inch-mile-tCO94,7,$/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,
CO,WECC,0.075,USD/inch-mile-tCO117,11,$/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,
CT,NPCC,0.05,USD/inch-mile-tCO134,7,$/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,
DE,RFC,0.05,USD/inch-mile-tCO154,7,$/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,
DC,US,0.05,USD/inch-mile-tCO160,7,$/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,
FL,FRCC,0.05,USD/inch-mile-tCO161,7,$/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,
GA,SERC,0.05,USD/inch-mile-tCO182,7,$/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,
ID,WECC,0.075,USD/inch-mile-tCO204,11,$/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,
IL,SERC,0.04,USD/inch-mile-tCO210,8,$/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,
IN,RFC,0.05,USD/inch-mile-tCO227,7,$/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,
IA,MRO,0.04,USD/inch-mile-tCO243,8,$/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,
KS,SPP,0.04,USD/inch-mile-tCO262,8,$/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,
KY,SERC,0.05,USD/inch-mile-tCO285,7,$/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,
LA,SERC,0.04,USD/inch-mile-tCO292,8,$/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,
ME,NPCC,0.05,USD/inch-mile-tCO308,7,$/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,
MD,RFC,0.05,USD/inch-mile-tCO311,7,$/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,
MA,NPCC,0.05,USD/inch-mile-tCO333,7,$/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,
MI,RFC,0.05,USD/inch-mile-tCO356,7,$/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,
MN,MRO,0.04,USD/inch-mile-tCO379,8,$/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,
MS,SERC,0.04,USD/inch-mile-tCO386,8,$/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,
MO,SERC,0.04,USD/inch-mile-tCO398,8,$/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,
MT,WECC,0.075,USD/inch-mile-tCO404,11,$/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,
MT,WECC,0.075,USD/inch-mile-tCO410,11,$/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,
NE,MRO,0.04,USD/inch-mile-tCO411,8,$/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,
NV,WECC,0.05,USD/inch-mile-tCO431,8,$/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,
NH,
NJ,RFC,0.05,USD/inch-mile-tCO457,7,$/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,
NM,WECC,0.06,USD/inch-mile-tCO480,7,$/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,
NY,NPCC,0.05,USD/inch-mile-tCO494,7,$/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,
NC,SERC,0.05,USD/inch-mile-tCO517,7,$/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,
ND,
OH,RFC,0.05,USD/inch-mile-tCO546,7,$/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,
OK,SPP,0.04,USD/inch-mile-tCO568,8,$/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,
OR,WECC,0.06,USD/inch-mile-tCO584,7,$/tCO2,https://dualchallenge.npc.org/files/CCUS-Chap_2-060520.pdf,
