State,Source,Comments,value,unit
US average,https://en.wikipedia.org/wiki/Fuel_taxes_in_the_United_States,Taxes on diesel for transportation by US state as of October 2020,4.14E-06,$/BTU
AL,https://en.wikipedia.org/wiki/Fuel_taxes_in_the_United_States,Taxes on diesel for transportation by US state as of October 2020,3.35E-06,$/BTU
AK,https://en.wikipedia.org/wiki/Fuel_taxes_in_the_United_States,Taxes on diesel for transportation by US state as of October 2020,2.79E-06,$/BTU
AZ,https://en.wikipedia.org/wiki/Fuel_taxes_in_the_United_States,Taxes on diesel for transportation by US state as of October 2020,3.70E-06,$/BTU
AR,https://en.wikipedia.org/wiki/Fuel_taxes_in_the_United_States,Taxes on diesel for transportation by US state as of October 2020,3.40E-06,$/BTU
CA,https://en.wikipedia.org/wiki/Fuel_taxes_in_the_United_States,Taxes on diesel for transportation by US state as of October 2020,8.01E-06,$/BTU
CO,https://en.wikipedia.org/wiki/Fuel_taxes_in_the_United_States,Taxes on diesel for transportation by US state as of October 2020,3.23E-06,$/BTU
CT,https://en.wikipedia.org/wiki/Fuel_taxes_in_the_United_States,Taxes on diesel for transportation by US state as of October 2020,5.10E-06,$/BTU
DE,https://en.wikipedia.org/wiki/Fuel_taxes_in_the_United_States,Taxes on diesel for transportation by US state as of October 2020,3.34E-06,$/BTU
FL,https://en.wikipedia.org/wiki/Fuel_taxes_in_the_United_States,Taxes on diesel for transportation by US state as of October 2020,4.27E-06,$/BTU
GA,https://en.wikipedia.org/wiki/Fuel_taxes_in_the_United_States,Taxes on diesel for transportation by US state as of October 2020,4.58E-06,$/BTU
HI,https://en.wikipedia.org/wiki/Fuel_taxes_in_the_United_States,Taxes on diesel for transportation by US state as of October 2020,5.37E-06,$/BTU
ID,https://en.wikipedia.org/wiki/Fuel_taxes_in_the_United_States,Taxes on diesel for transportation by US state as of October 2020,4.13E-06,$/BTU
IL,https://en.wikipedia.org/wiki/Fuel_taxes_in_the_United_States,Taxes on diesel for transportation by US state as of October 2020,6.15E-06,$/BTU
IN,https://en.wikipedia.org/wiki/Fuel_taxes_in_the_United_States,Taxes on diesel for transportation by US state as of October 2020,5.35E-06,$/BTU
IA,https://en.wikipedia.org/wiki/Fuel_taxes_in_the_United_States,Taxes on diesel for transportation by US state as of October 2020,4.09E-06,$/BTU
KS,https://en.wikipedia.org/wiki/Fuel_taxes_in_the_United_States,Taxes on diesel for transportation by US state as of October 2020,3.63E-06,$/BTU
KY,https://en.wikipedia.org/wiki/Fuel_taxes_in_the_United_States,Taxes on diesel for transportation by US state as of October 2020,3.41E-06,$/BTU
LA,https://en.wikipedia.org/wiki/Fuel_taxes_in_the_United_States,Taxes on diesel for transportation by US state as of October 2020,3.19E-06,$/BTU
ME,https://en.wikipedia.org/wiki/Fuel_taxes_in_the_United_States,Taxes on diesel for transportation by US state as of October 2020,4.00E-06,$/BTU
MD,https://en.wikipedia.org/wiki/Fuel_taxes_in_the_United_States,Taxes on diesel for transportation by US state as of October 2020,4.45E-06,$/BTU
MA,https://en.wikipedia.org/wiki/Fuel_taxes_in_the_United_States,Taxes on diesel for transportation by US state as of October 2020,3.66E-06,$/BTU
MI,https://en.wikipedia.org/wiki/Fuel_taxes_in_the_United_States,Taxes on diesel for transportation by US state as of October 2020,3.65E-06,$/BTU
MN,https://en.wikipedia.org/wiki/Fuel_taxes_in_the_United_States,Taxes on diesel for transportation by US state as of October 2020,3.81E-06,$/BTU
MS,https://en.wikipedia.org/wiki/Fuel_taxes_in_the_United_States,Taxes on diesel for transportation by US state as of October 2020,3.08E-06,$/BTU
MO,https://en.wikipedia.org/wiki/Fuel_taxes_in_the_United_States,Taxes on diesel for transportation by US state as of October 2020,3.01E-06,$/BTU
MT,https://en.wikipedia.org/wiki/Fuel_taxes_in_the_United_States,Taxes on diesel for transportation by US state as of October 2020,3.93E-06,$/BTU
NE,https://en.wikipedia.org/wiki/Fuel_taxes_in_the_United_States,Taxes on diesel for transportation by US state as of October 2020,3.91E-06,$/BTU
NV,https://en.wikipedia.org/wiki/Fuel_taxes_in_the_United_States,Taxes on diesel for transportation by US state as of October 2020,3.81E-06,$/BTU
NH,https://en.wikipedia.org/wiki/Fuel_taxes_in_the_United_States,Taxes on diesel for transportation by US state as of October 2020,3.47E-06,$/BTU
NJ,https://en.wikipedia.org/wiki/Fuel_taxes_in_the_United_States,Taxes on diesel for transportation by US state as of October 2020,5.91E-06,$/BTU
NM,https://en.wikipedia.org/wiki/Fuel_taxes_in_the_United_States,Taxes on diesel for transportation by US state as of October 2020,3.40E-06,$/BTU
NY,https://en.wikipedia.org/wiki/Fuel_taxes_in_the_United_States,Taxes on diesel for transportation by US state as of October 2020,5.01E-06,$/BTU
NC,https://en.wikipedia.org/wiki/Fuel_taxes_in_the_United_States,Taxes on diesel for transportation by US state as of October 2020,4.38E-06,$/BTU
ND,https://en.wikipedia.org/wiki/Fuel_taxes_in_the_United_States,Taxes on diesel for transportation by US state as of October 2020,3.41E-06,$/BTU
OH,https://en.wikipedia.org/wiki/Fuel_taxes_in_the_United_States,Taxes on diesel for transportation by US state as of October 2020,5.14E-06,$/BTU
OK,https://en.wikipedia.org/wiki/Fuel_taxes_in_the_United_States,Taxes on diesel for transportation by US state as of October 2020,3.19E-06,$/BTU
OR,https://en.wikipedia.org/wiki/Fuel_taxes_in_the_United_States,Taxes on diesel for transportation by US state as of October 2020,4.35E-06,$/BTU
PA,https://en.wikipedia.org/wiki/Fuel_taxes_in_the_United_States,Taxes on diesel for transportation by US state as of October 2020,7.17E-06,$/BTU
RI,https://en.wikipedia.org/wiki/Fuel_taxes_in_the_United_States,Taxes on diesel for transportation by US state as of October 2020,4.27E-06,$/BTU
SC,https://en.wikipedia.org/wiki/Fuel_taxes_in_the_United_States,Taxes on diesel for transportation by US state as of October 2020,3.39E-06,$/BTU
SD,https://en.wikipedia.org/wiki/Fuel_taxes_in_the_United_States,Taxes on diesel for transportation by US state as of October 2020,3.91E-06,$/BTU
TN,https://en.wikipedia.org/wiki/Fuel_taxes_in_the_United_States,Taxes on diesel for transportation by US state as of October 2020,3.80E-06,$/BTU
TX,https://en.wikipedia.org/wiki/Fuel_taxes_in_the_United_States,Taxes on diesel for transportation by US state as of October 2020,3.19E-06,$/BTU
UT,https://en.wikipedia.org/wiki/Fuel_taxes_in_the_United_States,Taxes on diesel for transportation by US state as of October 2020,3.91E-06,$/BTU
VT,https://en.wikipedia.org/wiki/Fuel_taxes_in_the_United_States,Taxes on diesel for transportation by US state as of October 2020,4.06E-06,$/BTU
VA,https://en.wikipedia.org/wiki/Fuel_taxes_in_the_United_States,Taxes on diesel for transportation by US state as of October 2020,3.63E-06,$/BTU
WA,https://en.wikipedia.org/wiki/Fuel_taxes_in_the_United_States,Taxes on diesel for transportation by US state as of October 2020,5.31E-06,$/BTU
WV,https://en.wikipedia.org/wiki/Fuel_taxes_in_the_United_States,Taxes on diesel for transportation by US state as of October 2020,4.32E-06,$/BTU
WI,https://en.wikipedia.org/wiki/Fuel_taxes_in_the_United_States,Taxes on diesel for transportation by US state as of October 2020,4.12E-06,$/BTU
WY,https://en.wikipedia.org/wiki/Fuel_taxes_in_the_United_States,Taxes on diesel for transportation by US state as of October 2020,3.48E-06,$/BTU
