State,Source,Comments,value,unit
US average,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Natural Gas Industrial Price""",4.28E-06,$/BTU
AL,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Natural Gas Industrial Price""",4.29E-06,$/BTU
AK,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Natural Gas Industrial Price""",5.91E-06,$/BTU
AZ,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Natural Gas Industrial Price""",6.08E-06,$/BTU
AR,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Natural Gas Industrial Price""",6.90E-06,$/BTU
CA,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Natural Gas Industrial Price""",7.24E-06,$/BTU
CO,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Natural Gas Industrial Price""",5.37E-06,$/BTU
CT,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Natural Gas Industrial Price""",6.66E-06,$/BTU
DE,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Natural Gas Industrial Price""",1.02E-05,$/BTU
FL,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Natural Gas Industrial Price""",6.49E-06,$/BTU
GA,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Natural Gas Industrial Price""",4.71E-06,$/BTU
HI,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Natural Gas Industrial Price""",2.30E-05,$/BTU
ID,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Natural Gas Industrial Price""",4.05E-06,$/BTU
IL,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Natural Gas Industrial Price""",5.65E-06,$/BTU
IN,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Natural Gas Industrial Price""",6.21E-06,$/BTU
IA,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Natural Gas Industrial Price""",5.45E-06,$/BTU
KS,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Natural Gas Industrial Price""",4.46E-06,$/BTU
KY,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Natural Gas Industrial Price""",4.48E-06,$/BTU
LA,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Natural Gas Industrial Price""",3.59E-06,$/BTU
ME,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Natural Gas Industrial Price""",9.42E-06,$/BTU
MD,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Natural Gas Industrial Price""",8.66E-06,$/BTU
MA,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Natural Gas Industrial Price""",1.05E-05,$/BTU
MI,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Natural Gas Industrial Price""",6.08E-06,$/BTU
MN,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Natural Gas Industrial Price""",4.88E-06,$/BTU
MS,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Natural Gas Industrial Price""",5.23E-06,$/BTU
MO,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Natural Gas Industrial Price""",6.61E-06,$/BTU
MT,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Natural Gas Industrial Price""",6.53E-06,$/BTU
NE,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Natural Gas Industrial Price""",4.56E-06,$/BTU
NV,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Natural Gas Industrial Price""",5.44E-06,$/BTU
NH,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Natural Gas Industrial Price""",9.98E-06,$/BTU
NJ,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Natural Gas Industrial Price""",8.17E-06,$/BTU
NM,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Natural Gas Industrial Price""",3.78E-06,$/BTU
NY,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Natural Gas Industrial Price""",7.97E-06,$/BTU
NC,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Natural Gas Industrial Price""",6.29E-06,$/BTU
ND,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Natural Gas Industrial Price""",3.35E-06,$/BTU
OH,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Natural Gas Industrial Price""",6.77E-06,$/BTU
OK,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Natural Gas Industrial Price""",2.72E-06,$/BTU
OR,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Natural Gas Industrial Price""",5.10E-06,$/BTU
PA,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Natural Gas Industrial Price""",8.84E-06,$/BTU
RI,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Natural Gas Industrial Price""",1.06E-05,$/BTU
SC,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Natural Gas Industrial Price""",5.01E-06,$/BTU
SD,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Natural Gas Industrial Price""",5.11E-06,$/BTU
TN,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Natural Gas Industrial Price""",5.03E-06,$/BTU
TX,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Natural Gas Industrial Price""",3.48E-06,$/BTU
UT,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Natural Gas Industrial Price""",5.40E-06,$/BTU
VT,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Natural Gas Industrial Price""",4.63E-06,$/BTU
VA,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Natural Gas Industrial Price""",5.17E-06,$/BTU
WA,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Natural Gas Industrial Price""",7.29E-06,$/BTU
WV,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Natural Gas Industrial Price""",3.60E-06,$/BTU
WI,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Natural Gas Industrial Price""",5.29E-06,$/BTU
WY,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Natural Gas Industrial Price""",3.99E-06,$/BTU
