State,Source,Comments,value,unit
US average,EIA https://www.eia.gov/dnav/pet/pet_pri_rac2_a_EPC0_PDT_dpbbl_a.htm,"""Domestic refiner price""",1.23E-05,$/BTU
AL,EIA https://www.eia.gov/dnav/pet/pet_pri_rac2_a_EPC0_PDT_dpbbl_a.htm,"""Domestic refiner price""",1.23E-05,$/BTU
AK,EIA https://www.eia.gov/dnav/pet/pet_pri_rac2_a_EPC0_PDT_dpbbl_a.htm,"""Domestic refiner price""",1.30E-05,$/BTU
AZ,EIA https://www.eia.gov/dnav/pet/pet_pri_rac2_a_EPC0_PDT_dpbbl_a.htm,"""Domestic refiner price""",1.30E-05,$/BTU
AR,EIA https://www.eia.gov/dnav/pet/pet_pri_rac2_a_EPC0_PDT_dpbbl_a.htm,"""Domestic refiner price""",1.23E-05,$/BTU
CA,EIA https://www.eia.gov/dnav/pet/pet_pri_rac2_a_EPC0_PDT_dpbbl_a.htm,"""Domestic refiner price""",1.30E-05,$/BTU
CO,EIA https://www.eia.gov/dnav/pet/pet_pri_rac2_a_EPC0_PDT_dpbbl_a.htm,"""Domestic refiner price""",1.15E-05,$/BTU
CT,EIA https://www.eia.gov/dnav/pet/pet_pri_rac2_a_EPC0_PDT_dpbbl_a.htm,"""Domestic refiner price""",1.28E-05,$/BTU
DE,EIA https://www.eia.gov/dnav/pet/pet_pri_rac2_a_EPC0_PDT_dpbbl_a.htm,"""Domestic refiner price""",1.28E-05,$/BTU
FL,EIA https://www.eia.gov/dnav/pet/pet_pri_rac2_a_EPC0_PDT_dpbbl_a.htm,"""Domestic refiner price""",1.28E-05,$/BTU
GA,EIA https://www.eia.gov/dnav/pet/pet_pri_rac2_a_EPC0_PDT_dpbbl_a.htm,"""Domestic refiner price""",1.28E-05,$/BTU
HI,EIA https://www.eia.gov/dnav/pet/pet_pri_rac2_a_EPC0_PDT_dpbbl_a.htm,"""Domestic refiner price""",1.30E-05,$/BTU
ID,EIA https://www.eia.gov/dnav/pet/pet_pri_rac2_a_EPC0_PDT_dpbbl_a.htm,"""Domestic refiner price""",1.15E-05,$/BTU
IL,EIA https://www.eia.gov/dnav/pet/pet_pri_rac2_a_EPC0_PDT_dpbbl_a.htm,"""Domestic refiner price""",1.21E-05,$/BTU
IN,EIA https://www.eia.gov/dnav/pet/pet_pri_rac2_a_EPC0_PDT_dpbbl_a.htm,"""Domestic refiner price""",1.21E-05,$/BTU
IA,EIA https://www.eia.gov/dnav/pet/pet_pri_rac2_a_EPC0_PDT_dpbbl_a.htm,"""Domestic refiner price""",1.21E-05,$/BTU
