State,Source,Comments,value,unit
US average,EIA: https://www.eia.gov/petroleum/marketing/monthly/xls/aviationtaxes.xls ,"""Excise Taxes + Taxes Discussed in Notes""",1.73E-06,$/BTU
AL,EIA: https://www.eia.gov/petroleum/marketing/monthly/xls/aviationtaxes.xls ,"""Excise Taxes + Taxes Discussed in Notes""",2.77E-07,$/BTU
AK,EIA: https://www.eia.gov/petroleum/marketing/monthly/xls/aviationtaxes.xls ,"""Excise Taxes + Taxes Discussed in Notes""",2.53E-07,$/BTU
AZ,EIA: https://www.eia.gov/petroleum/marketing/monthly/xls/aviationtaxes.xls ,"""Excise Taxes + Taxes Discussed in Notes""",1.19293E-06,$/BTU
AR,EIA: https://www.eia.gov/petroleum/marketing/monthly/xls/aviationtaxes.xls ,"""Excise Taxes + Taxes Discussed in Notes""",1.16E-06,$/BTU
CA,EIA: https://www.eia.gov/petroleum/marketing/monthly/xls/aviationtaxes.xls ,"""Excise Taxes + Taxes Discussed in Notes""",1.00E-06,$/BTU
CO,EIA: https://www.eia.gov/petroleum/marketing/monthly/xls/aviationtaxes.xls ,"""Excise Taxes + Taxes Discussed in Notes""",3.16E-07,$/BTU
CT,EIA: https://www.eia.gov/petroleum/marketing/monthly/xls/aviationtaxes.xls ,"""Excise Taxes + Taxes Discussed in Notes""",1.41E-06,$/BTU
DE,EIA: https://www.eia.gov/petroleum/marketing/monthly/xls/aviationtaxes.xls ,"""Excise Taxes + Taxes Discussed in Notes""",0.00E+00,$/BTU
FL,EIA: https://www.eia.gov/petroleum/marketing/monthly/xls/aviationtaxes.xls ,"""Excise Taxes + Taxes Discussed in Notes""",5.01E-07,$/BTU
GA,EIA: https://www.eia.gov/petroleum/marketing/monthly/xls/aviationtaxes.xls ,"""Excise Taxes + Taxes Discussed in Notes""",7.01E-07,$/BTU
HI,EIA: https://www.eia.gov/petroleum/marketing/monthly/xls/aviationtaxes.xls ,"""Excise Taxes + Taxes Discussed in Notes""",7.91E-08,$/BTU
ID,EIA: https://www.eia.gov/petroleum/marketing/monthly/xls/aviationtaxes.xls ,"""Excise Taxes + Taxes Discussed in Notes""",5.53E-07,$/BTU
IL,EIA: https://www.eia.gov/petroleum/marketing/monthly/xls/aviationtaxes.xls ,"""Excise Taxes + Taxes Discussed in Notes""",1.15E-06,$/BTU
IN,EIA: https://www.eia.gov/petroleum/marketing/monthly/xls/aviationtaxes.xls ,"""Excise Taxes + Taxes Discussed in Notes""",1.66E-06,$/BTU
IA,EIA: https://www.eia.gov/petroleum/marketing/monthly/xls/aviationtaxes.xls ,"""Excise Taxes + Taxes Discussed in Notes""",3.95E-07,$/BTU
KS,EIA: https://www.eia.gov/petroleum/marketing/monthly/xls/aviationtaxes.xls ,"""Excise Taxes + Taxes Discussed in Notes""",1.08E-06,$/BTU
KY,EIA: https://www.eia.gov/petroleum/marketing/monthly/xls/aviationtaxes.xls ,"""Excise Taxes + Taxes Discussed in Notes""",9.88E-07,$/BTU
LA,EIA: https://www.eia.gov/petroleum/marketing/monthly/xls/aviationtaxes.xls ,"""Excise Taxes + Taxes Discussed in Notes""",6.58E-07,$/BTU
ME,EIA: https://www.eia.gov/petroleum/marketing/monthly/xls/aviationtaxes.xls ,"""Excise Taxes + Taxes Discussed in Notes""",3.21E-07,$/BTU
MD,EIA: https://www.eia.gov/petroleum/marketing/monthly/xls/aviationtaxes.xls ,"""Excise Taxes + Taxes Discussed in Notes""",5.68E-07,$/BTU
