State,Source,Comments,value,unit
US average,EIA: https://www.eia.gov/electricity/sales_revenue_price/,"""Electricity Industrial Price""",2.03E-05,$/BTU
AL,EIA: https://www.eia.gov/electricity/sales_revenue_price/,"""Electricity Industrial Price""",1.76E-05,$/BTU
AK,EIA: https://www.eia.gov/electricity/sales_revenue_price/,"""Electricity Industrial Price""",5.01E-05,$/BTU
AZ,EIA: https://www.eia.gov/electricity/sales_revenue_price/,"""Electricity Industrial Price""",1.92E-05,$/BTU
AR,EIA: https://www.eia.gov/electricity/sales_revenue_price/,"""Electricity Industrial Price""",1.65E-05,$/BTU
CA,EIA: https://www.eia.gov/electricity/sales_revenue_price/,"""Electricity Industrial Price""",3.87E-05,$/BTU
CO,EIA: https://www.eia.gov/electricity/sales_revenue_price/,"""Electricity Industrial Price""",2.19E-05,$/BTU
CT,EIA: https://www.eia.gov/electricity/sales_revenue_price/,"""Electricity Industrial Price""",4.04E-05,$/BTU
DE,EIA: https://www.eia.gov/electricity/sales_revenue_price/,"""Electricity Industrial Price""",2.33E-05,$/BTU
FL,EIA: https://www.eia.gov/electricity/sales_revenue_price/,"""Electricity Industrial Price""",2.24E-05,$/BTU
GA,EIA: https://www.eia.gov/electricity/sales_revenue_price/,"""Electricity Industrial Price""",1.76E-05,$/BTU
HI,EIA: https://www.eia.gov/electricity/sales_revenue_price/,"""Electricity Industrial Price""",7.65E-05,$/BTU
ID,EIA: https://www.eia.gov/electricity/sales_revenue_price/,"""Electricity Industrial Price""",1.90E-05,$/BTU
IL,EIA: https://www.eia.gov/electricity/sales_revenue_price/,"""Electricity Industrial Price""",1.99E-05,$/BTU
IN,EIA: https://www.eia.gov/electricity/sales_revenue_price/,"""Electricity Industrial Price""",2.16E-05,$/BTU
IA,EIA: https://www.eia.gov/electricity/sales_revenue_price/,"""Electricity Industrial Price""",1.89E-05,$/BTU
KS,EIA: https://www.eia.gov/electricity/sales_revenue_price/,"""Electricity Industrial Price""",2.23E-05,$/BTU
KY,EIA: https://www.eia.gov/electricity/sales_revenue_price/,"""Electricity Industrial Price""",1.66E-05,$/BTU
LA,EIA: https://www.eia.gov/electricity/sales_revenue_price/,"""Electricity Industrial Price""",1.57E-05,$/BTU
ME,EIA: https://www.eia.gov/electricity/sales_revenue_price/,"""Electricity Industrial Price""",2.73E-05,$/BTU
MD,EIA: https://www.eia.gov/electricity/sales_revenue_price/,"""Electricity Industrial Price""",2.41E-05,$/BTU
MA,EIA: https://www.eia.gov/electricity/sales_revenue_price/,"""Electricity Industrial Price""",4.36E-05,$/BTU
MI,EIA: https://www.eia.gov/electricity/sales_revenue_price/,"""Electricity Industrial Price""",2.08E-05,$/BTU
