State,Source,Comments,value,unit
US average,ANL: https://publications.anl.gov/anlpubs/2005/09/54462.pdf,"""Natural Gas Industrial Price""",3.47E-05,$/BTU
AL,ANL: https://publications.anl.gov/anlpubs/2005/09/54462.pdf,"""Natural Gas Industrial Price""",3.34E-05,$/BTU
AK,ANL: https://publications.anl.gov/anlpubs/2005/09/54462.pdf,"""Natural Gas Industrial Price""",3.79E-05,$/BTU
AZ,ANL: https://publications.anl.gov/anlpubs/2005/09/54462.pdf,"""Natural Gas Industrial Price""",3.82E-05,$/BTU
AR,ANL: https://publications.anl.gov/anlpubs/2005/09/54462.pdf,"""Natural Gas Industrial Price""",3.39E-05,$/BTU
CA,ANL: https://publications.anl.gov/anlpubs/2005/09/54462.pdf,"""Natural Gas Industrial Price""",3.60E-05,$/BTU
CO,ANL: https://publications.anl.gov/anlpubs/2005/09/54462.pdf,"""Natural Gas Industrial Price""",3.82E-05,$/BTU
CT,ANL: https://publications.anl.gov/anlpubs/2005/09/54462.pdf,"""Natural Gas Industrial Price""",3.61E-05,$/BTU
DE,ANL: https://publications.anl.gov/anlpubs/2005/09/54462.pdf,"""Natural Gas Industrial Price""",3.30E-05,$/BTU
FL,ANL: https://publications.anl.gov/anlpubs/2005/09/54462.pdf,"""Natural Gas Industrial Price""",3.30E-05,$/BTU
GA,ANL: https://publications.anl.gov/anlpubs/2005/09/54462.pdf,"""Natural Gas Industrial Price""",3.30E-05,$/BTU
HI,ANL: https://publications.anl.gov/anlpubs/2005/09/54462.pdf,"""Natural Gas Industrial Price""",3.79E-05,$/BTU
ID,ANL: https://publications.anl.gov/anlpubs/2005/09/54462.pdf,"""Natural Gas Industrial Price""",3.82E-05,$/BTU
IL,ANL: https://publications.anl.gov/anlpubs/2005/09/54462.pdf,"""Natural Gas Industrial Price""",3.35E-05,$/BTU
IN,ANL: https://publications.anl.gov/anlpubs/2005/09/54462.pdf,"""Natural Gas Industrial Price""",3.35E-05,$/BTU
IA,ANL: https://publications.anl.gov/anlpubs/2005/09/54462.pdf,"""Natural Gas Industrial Price""",3.64E-05,$/BTU
KS,ANL: https://publications.anl.gov/anlpubs/2005/09/54462.pdf,"""Natural Gas Industrial Price""",3.64E-05,$/BTU
KY,ANL: https://publications.anl.gov/anlpubs/2005/09/54462.pdf,"""Natural Gas Industrial Price""",3.34E-05,$/BTU
LA,ANL: https://publications.anl.gov/anlpubs/2005/09/54462.pdf,"""Natural Gas Industrial Price""",3.39E-05,$/BTU
ME,ANL: https://publications.anl.gov/anlpubs/2005/09/54462.pdf,"""Natural Gas Industrial Price""",3.61E-05,$/BTU
MD,ANL: https://publications.anl.gov/anlpubs/2005/09/54462.pdf,"""Natural Gas Industrial Price""",3.30E-05,$/BTU
