State,Source,Comments,value,unit
US average,EIA: https://www.eia.gov/outlooks/steo/data/browser/#/?v=3&f=A&s=800g10000000000000000082002gg003vvvvvvvvo000000000010000100040fo001003vs0nvu000000vv0000000000000000000000000000310g0000s00000000000000000000000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000&start=2014&end=2021&linechart=&ctype=linechart&maptype=0&id=,"""Residual oil Industrial Price""",0.00001292,$/BTU
AL,EIA: https://www.eia.gov/outlooks/steo/data/browser/#/?v=3&f=A&s=800g10000000000000000082002gg003vvvvvvvvo000000000010000100040fo001003vs0nvu000000vv0000000000000000000000000000310g0000s00000000000000000000000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000&start=2014&end=2021&linechart=&ctype=linechart&maptype=0&id=,"""Residual oil Industrial Price""",0.00001292,$/BTU
AK,EIA: https://www.eia.gov/outlooks/steo/data/browser/#/?v=3&f=A&s=800g10000000000000000082002gg003vvvvvvvvo000000000010000100040fo001003vs0nvu000000vv0000000000000000000000000000310g0000s00000000000000000000000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000&start=2014&end=2021&linechart=&ctype=linechart&maptype=0&id=,"""Residual oil Industrial Price""",0.00001292,$/BTU
AZ,EIA: https://www.eia.gov/outlooks/steo/data/browser/#/?v=3&f=A&s=800g10000000000000000082002gg003vvvvvvvvo000000000010000100040fo001003vs0nvu000000vv0000000000000000000000000000310g0000s00000000000000000000000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000&start=2014&end=2021&linechart=&ctype=linechart&maptype=0&id=,"""Residual oil Industrial Price""",0.00001292,$/BTU
AR,EIA: https://www.eia.gov/outlooks/steo/data/browser/#/?v=3&f=A&s=800g10000000000000000082002gg003vvvvvvvvo000000000010000100040fo001003vs0nvu000000vv0000000000000000000000000000310g0000s00000000000000000000000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000&start=2014&end=2021&linechart=&ctype=linechart&maptype=0&id=,"""Residual oil Industrial Price""",0.00001292,$/BTU
CA,EIA: https://www.eia.gov/outlooks/steo/data/browser/#/?v=3&f=A&s=800g10000000000000000082002gg003vvvvvvvvo000000000010000100040fo001003vs0nvu000000vv0000000000000000000000000000310g0000s00000000000000000000000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000&start=2014&end=2021&linechart=&ctype=linechart&maptype=0&id=,"""Residual oil Industrial Price""",0.00001292,$/BTU
CO,EIA: https://www.eia.gov/outlooks/steo/data/browser/#/?v=3&f=A&s=800g10000000000000000082002gg003vvvvvvvvo000000000010000100040fo001003vs0nvu000000vv0000000000000000000000000000310g0000s00000000000000000000000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000&start=2014&end=2021&linechart=&ctype=linechart&maptype=0&id=,"""Residual oil Industrial Price""",0.00001292,$/BTU
CT,EIA: https://www.eia.gov/outlooks/steo/data/browser/#/?v=3&f=A&s=800g10000000000000000082002gg003vvvvvvvvo000000000010000100040fo001003vs0nvu000000vv0000000000000000000000000000310g0000s00000000000000000000000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000&start=2014&end=2021&linechart=&ctype=linechart&maptype=0&id=,"""Residual oil Industrial Price""",0.00001292,$/BTU
DE,EIA: https://www.eia.gov/outlooks/steo/data/browser/#/?v=3&f=A&s=800g10000000000000000082002gg003vvvvvvvvo000000000010000100040fo001003vs0nvu000000vv0000000000000000000000000000310g0000s00000000000000000000000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000&start=2014&end=2021&linechart=&ctype=linechart&maptype=0&id=,"""Residual oil Industrial Price""",0.00001292,$/BTU
FL,EIA: https://www.eia.gov/outlooks/steo/data/browser/#/?v=3&f=A&s=800g10000000000000000082002gg003vvvvvvvvo000000000010000100040fo001003vs0nvu000000vv0000000000000000000000000000310g0000s00000000000000000000000008000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000&start=2014&end=2021&linechart=&ctype=linechart&maptype=0&id=,"""Residual oil Industrial Price""",0.00001292,$/BTU
