census_region,year,value,units
NE,2010,6.227019001,$/MMBtu
NE,2011,5.590869484,$/MMBtu
NE,2012,4.107592063,$/MMBtu
NE,2013,6.465584175,$/MMBtu
NE,2014,7.027408814,$/MMBtu
NE,2015,4.539093254,$/MMBtu
NE,2016,4.125712384,$/MMBtu
NE,2017,4.291585,$/MMBtu
NE,2018,4.713083,$/MMBtu
NE,2019,4.163934,$/MMBtu
NE,2020,4.116628,$/MMBtu
NE,2021,3.975509,$/MMBtu
NE,2022,4.036858,$/MMBtu
NE,2023,4.191893,$/MMBtu
NE,2024,4.42805,$/MMBtu
NE,2025,4.575637,$/MMBtu
NE,2026,4.605366,$/MMBtu
NE,2027,4.591351,$/MMBtu
NE,2028,4.642769,$/MMBtu
NE,2029,4.653762,$/MMBtu
NE,2030,4.714593,$/MMBtu
NE,2031,4.667062,$/MMBtu
NE,2032,4.833355,$/MMBtu
NE,2033,4.88863,$/MMBtu
NE,2034,4.903966,$/MMBtu
NE,2035,4.964494,$/MMBtu
NE,2036,5.028252,$/MMBtu
NE,2037,5.077096,$/MMBtu
NE,2038,5.067362,$/MMBtu
NE,2039,5.092562,$/MMBtu
NE,2040,5.161098,$/MMBtu
NE,2041,5.173531,$/MMBtu
NE,2042,5.238172,$/MMBtu
NE,2043,5.319357,$/MMBtu
NE,2044,5.420521,$/MMBtu
NE,2045,5.516547,$/MMBtu
NE,2046,5.606076,$/MMBtu
NE,2047,5.677402,$/MMBtu
NE,2048,5.823382,$/MMBtu
NE,2049,5.951764,$/MMBtu
NE,2050,6.049339,$/MMBtu
MA,2010,6.263830132,$/MMBtu
MA,2011,5.755154369,$/MMBtu
MA,2012,3.943524542,$/MMBtu
MA,2013,4.985965489,$/MMBtu
MA,2014,5.409101656,$/MMBtu
MA,2015,3.085545771,$/MMBtu
MA,2016,2.933883904,$/MMBtu
MA,2017,3.333467,$/MMBtu
MA,2018,3.388499,$/MMBtu
MA,2019,3.296332,$/MMBtu
MA,2020,3.386501,$/MMBtu
MA,2021,3.325746,$/MMBtu
MA,2022,3.387729,$/MMBtu
MA,2023,3.548682,$/MMBtu
MA,2024,3.72974,$/MMBtu
MA,2025,3.900881,$/MMBtu
MA,2026,3.932437,$/MMBtu
MA,2027,3.924349,$/MMBtu
MA,2028,3.968261,$/MMBtu
MA,2029,3.93935,$/MMBtu
MA,2030,3.964658,$/MMBtu
MA,2031,3.942739,$/MMBtu
MA,2032,4.11728,$/MMBtu
MA,2033,4.167311,$/MMBtu
MA,2034,4.190194,$/MMBtu
MA,2035,4.225842,$/MMBtu
MA,2036,4.287786,$/MMBtu
MA,2037,4.307714,$/MMBtu
MA,2038,4.302246,$/MMBtu
