Generator Type,,Boiler in mix,IGCC in mix,Region,co2emissions (kg/kWh),efficiency,heat rate (MWh/MWh),heat rate (mmBtu/MWh),annual generation (MWh),annual capacity (MWh),cf 2018,cf 2018 (original not Tony temporary modif),data source (efficiency),data source (CF gen capacity),other note,,
IGCC - Integrated Gasification Combined Cycle,,0,1,ASCC,0.876039646,39.00%,2.56,8.75,,,0.54,0.35,,,Assuming same capacity factor as boiler due to data unavailability,,Assumes coal mix (50% bituminous_40% subbituminous_4.4% lignite_5.1% other)
IGCC - Integrated Gasification Combined Cycle,,0,1,FRCC,0.982,34.80%,2.87,9.81,,,0.462857143,0.3,,,Assuming same capacity factor as boiler due to data unavailability,,Assumes coal mix (50% bituminous_40% subbituminous_4.4% lignite_5.1% other)
IGCC - Integrated Gasification Combined Cycle,,0,1,HICC,0.876,39.00%,2.56,8.75,,,0.75,0.75,,,Assuming same capacity factor as boiler due to data unavailability,,Assumes coal mix (50% bituminous_40% subbituminous_4.4% lignite_5.1% other)
IGCC - Integrated Gasification Combined Cycle,,0,1,MRO,0.876,39.00%,2.56,8.75,,,0.740571429,0.48,,,Assuming same capacity factor as boiler due to data unavailability,,Assumes coal mix (50% bituminous_40% subbituminous_4.4% lignite_5.1% other)
IGCC - Integrated Gasification Combined Cycle,,0,1,NPCC,0.876,39.00%,2.56,8.75,,,0.108,0.07,,,Assuming same capacity factor as boiler due to data unavailability,,Assumes coal mix (50% bituminous_40% subbituminous_4.4% lignite_5.1% other)
IGCC - Integrated Gasification Combined Cycle,,0,1,RFC,0.876039646,39.00%,2.56,8.75,,,0.462857143,0.3,,,Assuming same capacity factor as boiler due to data unavailability,,Assumes coal mix (50% bituminous_40% subbituminous_4.4% lignite_5.1% other)
IGCC - Integrated Gasification Combined Cycle,,0,1,SERC,0.876039646,39.00%,2.56,8.75,,,0.478285714,0.31,,,Assuming same capacity factor as boiler due to data unavailability,,Assumes coal mix (50% bituminous_40% subbituminous_4.4% lignite_5.1% other)
IGCC - Integrated Gasification Combined Cycle,,0,1,SPP,0.876039646,39.00%,2.56,8.75,,,0.493714286,0.32,,,Assuming same capacity factor as boiler due to data unavailability,,Assumes coal mix (50% bituminous_40% subbituminous_4.4% lignite_5.1% other)
IGCC - Integrated Gasification Combined Cycle,,0,1,TRE,0.876039646,39.00%,2.56,8.75,,,0.617142857,0.4,,,Assuming same capacity factor as boiler due to data unavailability,,Assumes coal mix (50% bituminous_40% subbituminous_4.4% lignite_5.1% other)
IGCC - Integrated Gasification Combined Cycle,,0,1,WECC,0.876039646,39.00%,2.56,8.75,,,0.740571429,0.48,,,Assuming same capacity factor as boiler due to data unavailability,,Assumes coal mix (50% bituminous_40% subbituminous_4.4% lignite_5.1% other)
