r,fuel_type,reg_cap_cost_mult,source
p1,Coal,1.05221,EIA
p2,Coal,1.03841,EIA
p3,Coal,0.989403,EIA
p4,Coal,1.01063,EIA
p5,Coal,1.03219,EIA
p6,Coal,1.07127,EIA
p7,Coal,1.01959,EIA
p8,Coal,1.08949,EIA
p9,Coal,1.13107,EIA
p10,Coal,1.08896,EIA
p11,Coal,1.10292,EIA
p12,Coal,1.05186,EIA
p13,Coal,1.04126,EIA
p14,Coal,0.976763,EIA
p15,Coal,0.974383,EIA
p16,Coal,0.969499,EIA
p17,Coal,0.972597,EIA
p18,Coal,0.964146,EIA
p19,Coal,0.957342,EIA
p20,Coal,0.95663,EIA
p21,Coal,0.95891,EIA
p22,Coal,0.947924,EIA
p23,Coal,0.932083,EIA
p24,Coal,0.972934,EIA
p25,Coal,0.983184,EIA
p26,Coal,0.957355,EIA
p27,Coal,1.02698,EIA
p28,Coal,0.971546,EIA
p29,Coal,0.966021,EIA
p30,Coal,0.961119,EIA
p31,Coal,0.952499,EIA
p32,Coal,0.91831,EIA
p33,Coal,0.954028,EIA
p34,Coal,0.947172,EIA
p35,Coal,0.944525,EIA
p36,Coal,0.939098,EIA
p37,Coal,0.953326,EIA
p38,Coal,0.950226,EIA
p39,Coal,0.962056,EIA
p40,Coal,0.959536,EIA
p41,Coal,0.962092,EIA
p42,Coal,0.989296,EIA
p43,Coal,1.01771,EIA
p44,Coal,0.998671,EIA
p45,Coal,0.972578,EIA
p46,Coal,1.02347,EIA
p47,Coal,0.945715,EIA
p48,Coal,0.942627,EIA
p49,Coal,0.944625,EIA
p50,Coal,0.938182,EIA
p51,Coal,0.943734,EIA
p52,Coal,0.951457,EIA
p53,Coal,0.953496,EIA
p54,Coal,0.98688,EIA
p55,Coal,0.971422,EIA
p56,Coal,0.93803,EIA
p57,Coal,0.919306,EIA
p58,Coal,0.896925,EIA
p59,Coal,0.959524,EIA
p60,Coal,0.936405,EIA
p61,Coal,0.93702,EIA
p62,Coal,0.936712,EIA
p63,Coal,0.918558,EIA
p64,Coal,0.905198,EIA
p65,Coal,0.905983,EIA
p66,Coal,0.895482,EIA
p67,Coal,0.886059,EIA
p68,Coal,1.0025,EIA
p69,Coal,0.961908,EIA
p70,Coal,0.975194,EIA
p71,Coal,0.992349,EIA
p72,Coal,0.997936,EIA
p73,Coal,0.992839,EIA
p74,Coal,1.00467,EIA
p75,Coal,1.00299,EIA
p76,Coal,1.00487,EIA
p77,Coal,1.00035,EIA
p78,Coal,1.01949,EIA
p79,Coal,1.03486,EIA
p80,Coal,1.05607,EIA
p81,Coal,0.998543,EIA
p82,Coal,1.00947,EIA
p83,Coal,1.00624,EIA
p84,Coal,0.973084,EIA
p85,Coal,0.930688,EIA
p86,Coal,0.918848,EIA
p87,Coal,0.914111,EIA
p88,Coal,0.915392,EIA
p89,Coal,0.902225,EIA
p90,Coal,0.901144,EIA
p91,Coal,0.906668,EIA
p92,Coal,0.914936,EIA
p93,Coal,0.941355,EIA
p94,Coal,0.900683,EIA
p95,Coal,0.875723,EIA
p96,Coal,0.90802,EIA
p97,Coal,0.904215,EIA
p98,Coal,1.00352,EIA
p99,Coal,1.0707,EIA
p100,Coal,1.12869,EIA
p101,Coal,0.921567,EIA
p102,Coal,0.921802,EIA
p103,Coal,0.997993,EIA
p104,Coal,1.01698,EIA
p105,Coal,1.01691,EIA
p106,Coal,0.997296,EIA
p107,Coal,0.967121,EIA
p108,Coal,0.950812,EIA
p109,Coal,0.941764,EIA
p110,Coal,0.954438,EIA
p111,Coal,1.02147,EIA
p112,Coal,1.00039,EIA
p113,Coal,0.975389,EIA
p114,Coal,0.964663,EIA
p115,Coal,1.06874,EIA
p116,Coal,1.03706,EIA
p117,Coal,0.987942,EIA
p118,Coal,0.960424,EIA
p119,Coal,1.08461,EIA
p120,Coal,1.12617,EIA
p121,Coal,1.12673,EIA
p122,Coal,1.07936,EIA
p123,Coal,1.14362,EIA
p124,Coal,1.14363,EIA
p125,Coal,1.17476,EIA
p126,Coal,1.17186,EIA
p127,Coal,1.05661,EIA
p128,Coal,1.21061,EIA
p129,Coal,1.02414,EIA
p130,Coal,1.03627,EIA
p131,Coal,1.16169,EIA
p132,Coal,1.19139,EIA
p133,Coal,1.08218,EIA
p134,Coal,1.04191,EIA
p135,Coal,1,EIA
p136,Coal,1,EIA
p137,Coal,1,EIA
p138,Coal,1,EIA
p139,Coal,1,EIA
p140,Coal,1,EIA
p141,Coal,1,EIA
p142,Coal,1,EIA
p143,Coal,1,EIA
p144,Coal,1,EIA
p145,Coal,1,EIA
p146,Coal,1,EIA
p147,Coal,1,EIA
p148,Coal,1,EIA
p149,Coal,1,EIA
p150,Coal,1,EIA
p151,Coal,1,EIA
p152,Coal,1,EIA
p153,Coal,1,EIA
p154,Coal,1,EIA
p155,Coal,1,EIA
p156,Coal,1,EIA
p157,Coal,1,EIA
p158,Coal,1,EIA
p159,Coal,1,EIA
p160,Coal,1,EIA
p161,Coal,1,EIA
p162,Coal,1,EIA
p163,Coal,1,EIA
p164,Coal,1,EIA
p165,Coal,1,EIA
p166,Coal,1,EIA
p167,Coal,1,EIA
p168,Coal,1,EIA
p169,Coal,1,EIA
p170,Coal,1,EIA
p171,Coal,1,EIA
p172,Coal,1,EIA
p173,Coal,1,EIA
p174,Coal,1,EIA
p175,Coal,1,EIA
p176,Coal,1,EIA
p177,Coal,1,EIA
p178,Coal,1,EIA
p179,Coal,1,EIA
