,,,Case,FOM,CapEx,H2_Flow,Water_Consumption,Efficiency,power_efficiency,Non-fuel_VOM
,,,,[A],[B],[C],[D],[E],[F],[G]
,1,[1],Alk,55,1214,60,1.7,5.2,0,0
,2,[2],PEM,75,1771,300,1.4,5.2,0,0
,3,[3],SMR,23,678,100000,0,0.76,0.025,0.25
,4,[4],SMR_CCS,27,1102,100000,0,0.69,0.00098,0.24
,,,,,,,,,,
,,,,,,,,,,
,,Sources:,,,,,,,,
1,A,[1] x [A],Koj et al (2017) - Economic Analysis of Improved Alkaline Water Electrolysis - table 4 - FOM equals 5% of total depreciable cost,,,,,,,
1,B,[1] x [B],"Average of the following sources with 30% cost adder included. Sarl & Element. 2014. ""Study on development of water electrolysis in the EU -- Final Report""; Schmidt, O, et al. 2017. ""Future cost and performance of water electrolysis"" An expert elicitation study."" International Journal of Hydrogen Energy; International Energy Agency (IEA). 2019. ""IEA G20 Hydrogen report: Assumptions""; IRENA. 2019. ""Hydrogen: A Renewable Energy Perspective""",,,,,,,
1,C,[1] x [C],"Hydrogenics. 2018. ""Renewable Hydrogen Solutions."" URL: http://www.hydrogenics.com/wp-content/uploads/Renewable-Hydrogen-Brochure.pdf?utm_campaign=Renewable%20Hydrogen%20Solutions&utm_medium=email&_hsenc=p2ANqtz--OYGnf0s7gCZk_he-IEDKWyrDvjD6rS4gx6XCQWaBTEIq4oLm6zzjqtYvdPkcsoSf2xRYvdYNmaaWb0VrxPZnkPOfWTg&_hsmi=49692264&utm_source=hs_automation&utm_content=49692264&hsCtaTracking=c64066a0-d1ee-4deb-98e9-da6edcb953cc%7Cdc0f932a-2b3a-48d8-abf5-3be57312a9bb",,,,,,,
