Variable,Class,Value,Units,Source,year
OCC,NPD 1,6187.922914,$/kW,NREL ATB,2020
OCC,NPD 2,5632.194868,$/kW,NREL ATB,2020
OCC,NPD 3,4144.185611,$/kW,NREL ATB,2020
OCC,NPD 4,3907.240884,$/kW,NREL ATB,2020
OCC,NSD 1,7292.416392,$/kW,NREL ATB,2020
OCC,NSD 2,6510.121264,$/kW,NREL ATB,2020
OCC,NSD 3,6376.289138,$/kW,NREL ATB,2020
OCC,NSD 4,5740.109066,$/kW,NREL ATB,2020
FOM,NPD 1,114.4590426,$/kW-yr,NREL ATB,2020
FOM,NPD 2,31.49266361,$/kW-yr,NREL ATB,2020
FOM,NPD 3,121.5720508,$/kW-yr,NREL ATB,2020
FOM,NPD 4,41.525803,$/kW-yr,NREL ATB,2020
FOM,NSD 1,128.0678041,$/kW-yr,NREL ATB,2020
FOM,NSD 2,41.76019522,$/kW-yr,NREL ATB,2020
FOM,NSD 3,120.4782185,$/kW-yr,NREL ATB,2020
FOM,NSD 4,29.63836412,$/kW-yr,NREL ATB,2020
VOM,NPD 1,0,$/MWh,NREL ATB,2020
VOM,NPD 2,0,$/MWh,NREL ATB,2020
VOM,NPD 3,0,$/MWh,NREL ATB,2020
VOM,NPD 4,0,$/MWh,NREL ATB,2020
VOM,NSD 1,0,$/MWh,NREL ATB,2020
VOM,NSD 2,0,$/MWh,NREL ATB,2020
VOM,NSD 3,0,$/MWh,NREL ATB,2020
VOM,NSD 4,0,$/MWh,NREL ATB,2020
