Year,State,Generation Region,Price,value,source,unit of Price,unit of value
1997,US,US,2.78,2.680810029,EIA NG Electric Power Prices : https://www.eia.gov/dnav/ng/NG_SUM_LSUM_A_EPG0_PEU_DMCF_A.html,dollars per thousand cubic feet,$/MMBtu
1998,US,US,2.4,2.31436837,EIA NG Electric Power Prices : https://www.eia.gov/dnav/ng/NG_SUM_LSUM_A_EPG0_PEU_DMCF_A.html,dollars per thousand cubic feet,$/MMBtu
1999,US,US,2.62,2.526518804,EIA NG Electric Power Prices : https://www.eia.gov/dnav/ng/NG_SUM_LSUM_A_EPG0_PEU_DMCF_A.html,dollars per thousand cubic feet,$/MMBtu
2000,US,US,4.38,4.223722276,EIA NG Electric Power Prices : https://www.eia.gov/dnav/ng/NG_SUM_LSUM_A_EPG0_PEU_DMCF_A.html,dollars per thousand cubic feet,$/MMBtu
2001,US,US,4.61,4.445515911,EIA NG Electric Power Prices : https://www.eia.gov/dnav/ng/NG_SUM_LSUM_A_EPG0_PEU_DMCF_A.html,dollars per thousand cubic feet,$/MMBtu
2002,US,US,3.68,3.548698168,EIA NG Electric Power Prices : https://www.eia.gov/dnav/ng/NG_SUM_LSUM_A_EPG0_PEU_DMCF_A.html,dollars per thousand cubic feet,$/MMBtu
2003,US,US,5.57,5.371263259,EIA NG Electric Power Prices : https://www.eia.gov/dnav/ng/NG_SUM_LSUM_A_EPG0_PEU_DMCF_A.html,dollars per thousand cubic feet,$/MMBtu
2004,US,US,6.11,5.891996143,EIA NG Electric Power Prices : https://www.eia.gov/dnav/ng/NG_SUM_LSUM_A_EPG0_PEU_DMCF_A.html,dollars per thousand cubic feet,$/MMBtu
2005,US,US,8.47,8.167791707,EIA NG Electric Power Prices : https://www.eia.gov/dnav/ng/NG_SUM_LSUM_A_EPG0_PEU_DMCF_A.html,dollars per thousand cubic feet,$/MMBtu
2006,US,US,7.11,6.856316297,EIA NG Electric Power Prices : https://www.eia.gov/dnav/ng/NG_SUM_LSUM_A_EPG0_PEU_DMCF_A.html,dollars per thousand cubic feet,$/MMBtu
2007,US,US,7.31,7.049180328,EIA NG Electric Power Prices : https://www.eia.gov/dnav/ng/NG_SUM_LSUM_A_EPG0_PEU_DMCF_A.html,dollars per thousand cubic feet,$/MMBtu
2008,US,US,9.26,8.929604629,EIA NG Electric Power Prices : https://www.eia.gov/dnav/ng/NG_SUM_LSUM_A_EPG0_PEU_DMCF_A.html,dollars per thousand cubic feet,$/MMBtu
2009,US,US,4.93,4.754098361,EIA NG Electric Power Prices : https://www.eia.gov/dnav/ng/NG_SUM_LSUM_A_EPG0_PEU_DMCF_A.html,dollars per thousand cubic feet,$/MMBtu
2010,US,US,5.27,5.081967213,EIA NG Electric Power Prices : https://www.eia.gov/dnav/ng/NG_SUM_LSUM_A_EPG0_PEU_DMCF_A.html,dollars per thousand cubic feet,$/MMBtu
2011,US,US,4.89,4.715525554,EIA NG Electric Power Prices : https://www.eia.gov/dnav/ng/NG_SUM_LSUM_A_EPG0_PEU_DMCF_A.html,dollars per thousand cubic feet,$/MMBtu
2012,US,US,3.54,3.413693346,EIA NG Electric Power Prices : https://www.eia.gov/dnav/ng/NG_SUM_LSUM_A_EPG0_PEU_DMCF_A.html,dollars per thousand cubic feet,$/MMBtu
2013,US,US,4.49,4.329797493,EIA NG Electric Power Prices : https://www.eia.gov/dnav/ng/NG_SUM_LSUM_A_EPG0_PEU_DMCF_A.html,dollars per thousand cubic feet,$/MMBtu
2014,US,US,5.19,5.004821601,EIA NG Electric Power Prices : https://www.eia.gov/dnav/ng/NG_SUM_LSUM_A_EPG0_PEU_DMCF_A.html,dollars per thousand cubic feet,$/MMBtu
2015,US,US,3.38,3.259402122,EIA NG Electric Power Prices : https://www.eia.gov/dnav/ng/NG_SUM_LSUM_A_EPG0_PEU_DMCF_A.html,dollars per thousand cubic feet,$/MMBtu
2016,US,US,2.99,2.883317261,EIA NG Electric Power Prices : https://www.eia.gov/dnav/ng/NG_SUM_LSUM_A_EPG0_PEU_DMCF_A.html,dollars per thousand cubic feet,$/MMBtu
2017,US,US,3.51,3.384763742,EIA NG Electric Power Prices : https://www.eia.gov/dnav/ng/NG_SUM_LSUM_A_EPG0_PEU_DMCF_A.html,dollars per thousand cubic feet,$/MMBtu
2018,US,US,3.68,3.548698168,EIA NG Electric Power Prices : https://www.eia.gov/dnav/ng/NG_SUM_LSUM_A_EPG0_PEU_DMCF_A.html,dollars per thousand cubic feet,$/MMBtu
2019,US,US,2.99,2.883317261,EIA NG Electric Power Prices : https://www.eia.gov/dnav/ng/NG_SUM_LSUM_A_EPG0_PEU_DMCF_A.html,dollars per thousand cubic feet,$/MMBtu
1997,AL,SERC,2.86,2.757955641,EIA NG Electric Power Prices : https://www.eia.gov/dnav/ng/NG_SUM_LSUM_A_EPG0_PEU_DMCF_A.html,dollars per thousand cubic feet,$/MMBtu
1998,AL,SERC,2.58,2.487945998,EIA NG Electric Power Prices : https://www.eia.gov/dnav/ng/NG_SUM_LSUM_A_EPG0_PEU_DMCF_A.html,dollars per thousand cubic feet,$/MMBtu
1999,AL,SERC,2.98,2.87367406,EIA NG Electric Power Prices : https://www.eia.gov/dnav/ng/NG_SUM_LSUM_A_EPG0_PEU_DMCF_A.html,dollars per thousand cubic feet,$/MMBtu
2000,AL,SERC,4.52,4.358727097,EIA NG Electric Power Prices : https://www.eia.gov/dnav/ng/NG_SUM_LSUM_A_EPG0_PEU_DMCF_A.html,dollars per thousand cubic feet,$/MMBtu
2001,AL,SERC,5.2,5.014464802,EIA NG Electric Power Prices : https://www.eia.gov/dnav/ng/NG_SUM_LSUM_A_EPG0_PEU_DMCF_A.html,dollars per thousand cubic feet,$/MMBtu
2002,AL,SERC,3.57,3.442622951,EIA NG Electric Power Prices : https://www.eia.gov/dnav/ng/NG_SUM_LSUM_A_EPG0_PEU_DMCF_A.html,dollars per thousand cubic feet,$/MMBtu
2003,AL,SERC,5.81,5.602700096,EIA NG Electric Power Prices : https://www.eia.gov/dnav/ng/NG_SUM_LSUM_A_EPG0_PEU_DMCF_A.html,dollars per thousand cubic feet,$/MMBtu
2004,AL,SERC,6.24,6.017357763,EIA NG Electric Power Prices : https://www.eia.gov/dnav/ng/NG_SUM_LSUM_A_EPG0_PEU_DMCF_A.html,dollars per thousand cubic feet,$/MMBtu
2005,AL,SERC,9.67,9.324975892,EIA NG Electric Power Prices : https://www.eia.gov/dnav/ng/NG_SUM_LSUM_A_EPG0_PEU_DMCF_A.html,dollars per thousand cubic feet,$/MMBtu
2006,AL,SERC,7.32,7.058823529,EIA NG Electric Power Prices : https://www.eia.gov/dnav/ng/NG_SUM_LSUM_A_EPG0_PEU_DMCF_A.html,dollars per thousand cubic feet,$/MMBtu
2007,AL,SERC,7.19,6.933461909,EIA NG Electric Power Prices : https://www.eia.gov/dnav/ng/NG_SUM_LSUM_A_EPG0_PEU_DMCF_A.html,dollars per thousand cubic feet,$/MMBtu
2008,AL,SERC,10.03,9.672131148,EIA NG Electric Power Prices : https://www.eia.gov/dnav/ng/NG_SUM_LSUM_A_EPG0_PEU_DMCF_A.html,dollars per thousand cubic feet,$/MMBtu
2009,AL,SERC,4.3,4.146576663,EIA NG Electric Power Prices : https://www.eia.gov/dnav/ng/NG_SUM_LSUM_A_EPG0_PEU_DMCF_A.html,dollars per thousand cubic feet,$/MMBtu
2010,AL,SERC,4.85,4.676952748,EIA NG Electric Power Prices : https://www.eia.gov/dnav/ng/NG_SUM_LSUM_A_EPG0_PEU_DMCF_A.html,dollars per thousand cubic feet,$/MMBtu
2012,AL,SERC,3.09,2.979749277,EIA NG Electric Power Prices : https://www.eia.gov/dnav/ng/NG_SUM_LSUM_A_EPG0_PEU_DMCF_A.html,dollars per thousand cubic feet,$/MMBtu
1997,AK,ASCC,1.74,1.677917068,EIA NG Electric Power Prices : https://www.eia.gov/dnav/ng/NG_SUM_LSUM_A_EPG0_PEU_DMCF_A.html,dollars per thousand cubic feet,$/MMBtu
1998,AK,ASCC,1.8,1.735776278,EIA NG Electric Power Prices : https://www.eia.gov/dnav/ng/NG_SUM_LSUM_A_EPG0_PEU_DMCF_A.html,dollars per thousand cubic feet,$/MMBtu
