Generator Type,mix,SCGT in mix,CCGT in mix,ICE in mix,co2emissions (kg/kWh),Region,efficiency 2018,heat rate (MWh/MWh),heat rate (mmBtu/MWh),annual generation (MWh),annual capacity (MWh),cf 2018,cf 2018 original wrong,data source (efficiency),data source (CF gen capacity),other note
Combined Cycle,,0,1,0,0.529445838,ASCC,38.30%,2.61,8.91,0,0,0.55,0.36,GREET Electric tab Row 144-154 for Natural gas Combined Cycle when Inputs tab E710 = ASCC,Egrid2018_data_v2 (https://www.epa.gov/energy/emissions-generation-resource-integrated-database-egrid),CF unavailable thus using US average here
Combined Cycle,,0,1,0,0.398528568,FRCC,50.90%,1.96,6.7,53955075.74,133250112,0.611111111,0.4,GREET Electric tab Row 144-154 for Natural gas Combined Cycle when Inputs tab E710 = FRCC,Egrid2018_data_v2 (https://www.epa.gov/energy/emissions-generation-resource-integrated-database-egrid),
Combined Cycle,,0,1,0,0.368846805,HICC,55.00%,1.82,6.2,0,0,0.55,0.36,GREET Electric tab Row 144-154 for Natural gas Combined Cycle when Inputs tab E710 = HICC,Egrid2018_data_v2 (https://www.epa.gov/energy/emissions-generation-resource-integrated-database-egrid),CF unavailable thus using US average here
Combined Cycle,,0,1,0,0.418223521,MRO,48.50%,2.06,7.04,10064418.34,36273408,0.427777778,0.28,GREET Electric tab Row 144-154 for Natural gas Combined Cycle when Inputs tab E710 = MRO,Egrid2018_data_v2 (https://www.epa.gov/energy/emissions-generation-resource-integrated-database-egrid),
Combined Cycle,,0,1,0,0.398514818,NPCC,50.90%,1.96,6.7,22414929.08,77384964,0.443055556,0.29,GREET Electric tab Row 144-154 for Natural gas Combined Cycle when Inputs tab E710 = NPCC,Egrid2018_data_v2 (https://www.epa.gov/energy/emissions-generation-resource-integrated-database-egrid),
Combined Cycle,,0,1,0,0.404869865,RFC,50.10%,2,6.81,63691187.92,173462016,0.565277778,0.37,GREET Electric tab Row 144-154 for Natural gas Combined Cycle when Inputs tab E710 = RFC,Egrid2018_data_v2 (https://www.epa.gov/energy/emissions-generation-resource-integrated-database-egrid),
Combined Cycle,,0,1,0,0.398522675,SERC,50.90%,1.96,6.7,109539118.5,273516108,0.611111111,0.4,GREET Electric tab Row 144-154 for Natural gas Combined Cycle when Inputs tab E710 = SERC,Egrid2018_data_v2 (https://www.epa.gov/energy/emissions-generation-resource-integrated-database-egrid),
Combined Cycle,,0,1,0,0.409777733,SPP,49.50%,2.02,6.89,13636061,29975844,0.6875,0.45,GREET Electric tab Row 144-154 for Natural gas Combined Cycle when Inputs tab E710 = SPP,Egrid2018_data_v2 (https://www.epa.gov/energy/emissions-generation-resource-integrated-database-egrid),
Combined Cycle,,0,1,0,0.403268816,TRE,50.30%,1.99,6.78,56200122.05,171461232,0.504166667,0.33,GREET Electric tab Row 144-154 for Natural gas Combined Cycle when Inputs tab E710 = TRE,Egrid2018_data_v2 (https://www.epa.gov/energy/emissions-generation-resource-integrated-database-egrid),
Combined Cycle,,0,1,0,0.368846805,WECC,51.10%,1.96,6.68,65262527.07,208489752,0.473611111,0.31,GREET Electric tab Row 144-154 for Natural gas Combined Cycle when Inputs tab E710 = WECC,Egrid2018_data_v2 (https://www.epa.gov/energy/emissions-generation-resource-integrated-database-egrid),
