Turbine,census_region,state,p,interconnect,country,reg_cap_cost_mult,source
Combined Cycle,PA,WA,p1,WSCC,usa,1.050755,EIA
Gas Turbine,PA,WA,p1,WSCC,usa,1.035995,EIA
Combined Cycle,PA,WA,p2,WSCC,usa,1.066755,EIA
Gas Turbine,PA,WA,p2,WSCC,usa,1.02988,EIA
Combined Cycle,PA,WA,p3,WSCC,usa,1.0067385,EIA
Gas Turbine,PA,WA,p3,WSCC,usa,1.0044295,EIA
Combined Cycle,PA,WA,p4,WSCC,usa,1.028935,EIA
Gas Turbine,PA,WA,p4,WSCC,usa,1.016275,EIA
Combined Cycle,PA,OR,p5,WSCC,usa,1.085385,EIA
Gas Turbine,PA,OR,p5,WSCC,usa,1.030745,EIA
Combined Cycle,PA,OR,p6,WSCC,usa,1.135345,EIA
Gas Turbine,PA,OR,p6,WSCC,usa,1.063325,EIA
Combined Cycle,PA,OR,p7,WSCC,usa,1.05947,EIA
Gas Turbine,PA,OR,p7,WSCC,usa,1.031045,EIA
Combined Cycle,PA,CA,p8,WSCC,usa,1.159725,EIA
Gas Turbine,PA,CA,p8,WSCC,usa,1.075665,EIA
Combined Cycle,PA,CA,p9,WSCC,usa,1.21954,EIA
Gas Turbine,PA,CA,p9,WSCC,usa,1.13088,EIA
Combined Cycle,PA,CA,p10,WSCC,usa,1.171075,EIA
Gas Turbine,PA,CA,p10,WSCC,usa,1.11557,EIA
Combined Cycle,PA,CA,p11,WSCC,usa,1.198855,EIA
Gas Turbine,PA,CA,p11,WSCC,usa,1.138025,EIA
Combined Cycle,MTN,NV,p12,WSCC,usa,1.107905,EIA
Gas Turbine,MTN,NV,p12,WSCC,usa,1.07572,EIA
Combined Cycle,MTN,NV,p13,WSCC,usa,1.065245,EIA
Gas Turbine,MTN,NV,p13,WSCC,usa,1.098,EIA
Combined Cycle,MTN,ID,p14,WSCC,usa,0.997477,EIA
Gas Turbine,MTN,ID,p14,WSCC,usa,0.9994345,EIA
Combined Cycle,MTN,ID,p15,WSCC,usa,0.9996285,EIA
Gas Turbine,MTN,ID,p15,WSCC,usa,1.0039355,EIA
Combined Cycle,MTN,ID,p16,WSCC,usa,1.00475,EIA
Gas Turbine,MTN,ID,p16,WSCC,usa,1.016221,EIA
Combined Cycle,MTN,MT,p17,WSCC,usa,1.022415,EIA
Gas Turbine,MTN,MT,p17,WSCC,usa,1.019845,EIA
Combined Cycle,MTN,MT,p18,WSCC,usa,1.033755,EIA
Gas Turbine,MTN,MT,p18,WSCC,usa,1.03297,EIA
Combined Cycle,MTN,MT,p19,WSCC,usa,1.0067415,EIA
Gas Turbine,MTN,MT,p19,WSCC,usa,1.021635,EIA
Combined Cycle,MTN,MT,p20,WSCC,usa,1.0149605,EIA
Gas Turbine,MTN,MT,p20,WSCC,usa,1.0267585,EIA
Combined Cycle,MTN,WY,p21,WSCC,usa,1.001221,EIA
Gas Turbine,MTN,WY,p21,WSCC,usa,1.035236,EIA
Combined Cycle,MTN,WY,p22,WSCC,usa,0.988961,EIA
Gas Turbine,MTN,WY,p22,WSCC,usa,1.032399,EIA
Combined Cycle,MTN,WY,p23,WSCC,usa,0.9670045,EIA
