,all,PV_util_track_Si_2021,PV_res_Si_2021,PV_util_track_TF_2021,PV_res_TF_2021,PV_util_fixed_Si_2021,PV_util_fixed_TF_2021
power_UID,,,,,,,
VOM_non_fuel,,0,0,0,0,0,0
VOM_fuel,,0,0,0,0,0,0
LCOE_VOM,,,,,,,
FOM,,22.71037865,27.38888661,20.89354836,25.19777568,21.37447402,19.6645161
CF,,,,,,,
LCOE_FOM,,,,,,,
OCC,,1288.483956,2539.532665,1185.40524,2336.370052,1194.776032,1099.193949
CapRegMult,1,,,,,,
L,,30,30,30,30,30,30
GF,,0,0,0,0,0,0
OnSpurCost,,0,0,0,0,0,0
OffSpurCost,,0,0,0,0,0,0
GCC,,,,,,,
i,0.025,,,,,,
IR_nom,,4%,0.04,0.04,0.04,0.04,0.04
IR,,,,,,,
TR,0.2574,,,,,,
DF,,0.735,0.758,0.735,0.758,0.735,0.735
RROE_nom,,0.078,0.088,0.078,0.088,0.078,0.078
RROE,,,,,,,
WACC,,,,,,,
CRF,,,,,,,
M,,6,6,6,6,6,6
FD_y.1,,0.2,0.2,0.2,0.2,0.2,0.2
FD_y.2,,0.32,0.32,0.32,0.32,0.32,0.32
FD_y.3,,0.192,0.192,0.192,0.192,0.192,0.192
FD_y.4,,0.1152,0.1152,0.1152,0.1152,0.1152,0.1152
FD_y.5,,0.1152,0.1152,0.1152,0.1152,0.1152,0.1152
FD_y.6,,0.0576,0.0576,0.0576,0.0576,0.0576,0.0576
f_y.1,,,,,,,
f_y.2,,,,,,,
f_y.3,,,,,,,
f_y.4,,,,,,,
f_y.5,,,,,,,
f_y.6,,,,,,,
PVD,,,,,,,
ProFinFactor,,,,,,,
FCR,,,,,,,
C,,1,0,1,0,1,1
FC,,1,1,1,1,1,1
LDC,0.8,,,,,,
IDC,,0.035,0.035,0.035,0.035,0.035,0.035
AI,,,,,,,
EDC,,,,,,,
EPC,0.02,,,,,,
CEC,,,,,,,
AEC,,,,,,,
ConFinFactor,,,,,,,
CAPEX,,,,,,,
LCOE_capex,,,,,,,
LCOE,,,,,,,
LCOE_ON,,,,,,,
d,,,,,,,
