,Commericial - flat roof - 0.1MW,Commericial - flat roof - 0.2MW,Commericial - flat roof - 0.5MW,Commericial - flat roof - 1MW,Commericial - flat roof - 2MW,Commericial - ground mount - 0.1MW
EPC/Developer Profit,0.12,0.11,0.11,0.11,0.1,0.17
Contingency,0.05,0.04,0.04,0.04,0.04,0.06
Developer Overhead,0.36,0.33,0.31,0.31,0.3,0.48
Sales Tax,0.05,0.05,0.04,0.04,0.04,0.07
Pll,0.14,0.11,0.09,0.08,0.08,0.1
EPC Overhead,0.18,0.16,0.15,0.15,0.15,0.17
Install labor & Equipment,0.19,0.15,0.13,0.12,0.11,0.21
Electrical BOS,0.15,0.13,0.13,0.12,0.12,0.41
Structural BOS,0.11,0.11,0.11,0.11,0.11,0.17
Inverter,0.12,0.12,0.12,0.12,0.12,0.07
Module,0.41,0.41,0.41,0.41,0.41,0.41
Total,1.87,1.72,1.64,1.61,1.59,2.31
