,Utility - Fixed Tilt - 5MW,Utility - Fixed Tilt - 10MW,Utility - Fixed Tilt - 50MW,Utility - Fixed Tilt - 100MW,Utility - One-axis - 5MW,Utility - One-axis - 10MW,Utility - One-axis - 50MW,Utility - One-axis - 100MW
EPC/Developer Profit,0.09,0.08,0.06,0.04,0.1,0.09,0.07,0.05
Contingency,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
Developer Overhead,0.11,0.07,0.03,0.02,0.12,0.08,0.03,0.02
"Transmissions Line, Interconnection Fee, Land Acquisition",0.08,0.06,0.05,0.05,0.08,0.04,0.04,0.05
Sales Tax,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.04
APC Overhead,0.08,0.07,0.06,0.05,0.09,0.09,0.07,0.06
Install Labor & Equipment,0.12,0.12,0.11,0.1,0.13,0.13,0.12,0.11
Electrical BOS,0.13,0.11,0.09,0.07,0.13,0.12,0.09,0.07
Structural BOS,0.1,0.1,0.09,0.08,0.15,0.15,0.14,0.12
Inverter,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
Module,0.41,0.41,0.41,0.41,0.41,0.41,0.41,0.41
Total,1.24,1.14,1.02,0.94,1.34,1.24,1.1,1.01
