Location,Source,Comments,value,unit
US average,EIA (Table 34) https://www.eia.gov/coal/data.php,"""Industrial price""",59.01,$/ton
AL,EIA (Table 34) https://www.eia.gov/coal/data.php,"""Industrial price""",94.89,$/ton
AK,EIA (Table 34) https://www.eia.gov/coal/data.php,"""Industrial price""",NA,$/ton
AZ,EIA (Table 34) https://www.eia.gov/coal/data.php,"""Industrial price""",NA,$/ton
AR,EIA (Table 34) https://www.eia.gov/coal/data.php,"""Industrial price""",NA,$/ton
CA,EIA (Table 34) https://www.eia.gov/coal/data.php,"""Industrial price""",81.73,$/ton
CO,EIA (Table 34) https://www.eia.gov/coal/data.php,"""Industrial price""",57.77,$/ton
CT,EIA (Table 34) https://www.eia.gov/coal/data.php,"""Industrial price""",NA,$/ton
DE,EIA (Table 34) https://www.eia.gov/coal/data.php,"""Industrial price""",NA,$/ton
DC,EIA (Table 34) https://www.eia.gov/coal/data.php,"""Industrial price""",NA,$/ton
FL,EIA (Table 34) https://www.eia.gov/coal/data.php,"""Industrial price""",114.54,$/ton
GA,EIA (Table 34) https://www.eia.gov/coal/data.php,"""Industrial price""",102.08,$/ton
HI,EIA (Table 34) https://www.eia.gov/coal/data.php,"""Industrial price""",NA,$/ton
ID,EIA (Table 34) https://www.eia.gov/coal/data.php,"""Industrial price""",NA,$/ton
IL,EIA (Table 34) https://www.eia.gov/coal/data.php,"""Industrial price""",45.53,$/ton
IN,EIA (Table 34) https://www.eia.gov/coal/data.php,"""Industrial price""",92.15,$/ton
IA,EIA (Table 34) https://www.eia.gov/coal/data.php,"""Industrial price""",39.53,$/ton
KS,EIA (Table 34) https://www.eia.gov/coal/data.php,"""Industrial price""",NA,$/ton
KY,EIA (Table 34) https://www.eia.gov/coal/data.php,"""Industrial price""",88.59,$/ton
LA,EIA (Table 34) https://www.eia.gov/coal/data.php,"""Industrial price""",NA,$/ton
ME,EIA (Table 34) https://www.eia.gov/coal/data.php,"""Industrial price""",NA,$/ton
MD,EIA (Table 34) https://www.eia.gov/coal/data.php,"""Industrial price""",NA,$/ton
MA,EIA (Table 34) https://www.eia.gov/coal/data.php,"""Industrial price""",NA,$/ton
MI,EIA (Table 34) https://www.eia.gov/coal/data.php,"""Industrial price""",86.96,$/ton
MN,EIA (Table 34) https://www.eia.gov/coal/data.php,"""Industrial price""",48.04,$/ton
MS,EIA (Table 34) https://www.eia.gov/coal/data.php,"""Industrial price""",NA,$/ton
MO,EIA (Table 34) https://www.eia.gov/coal/data.php,"""Industrial price""",49.57,$/ton
MT,EIA (Table 34) https://www.eia.gov/coal/data.php,"""Industrial price""",41.29,$/ton
NE,EIA (Table 34) https://www.eia.gov/coal/data.php,"""Industrial price""",27.57,$/ton
NV,EIA (Table 34) https://www.eia.gov/coal/data.php,"""Industrial price""",75.09,$/ton
NH,EIA (Table 34) https://www.eia.gov/coal/data.php,"""Industrial price""",NA,$/ton
NJ,EIA (Table 34) https://www.eia.gov/coal/data.php,"""Industrial price""",NA,$/ton
NM,EIA (Table 34) https://www.eia.gov/coal/data.php,"""Industrial price""",NA,$/ton
NY,EIA (Table 34) https://www.eia.gov/coal/data.php,"""Industrial price""",120.38,$/ton
NC,EIA (Table 34) https://www.eia.gov/coal/data.php,"""Industrial price""",96.36,$/ton
ND,EIA (Table 34) https://www.eia.gov/coal/data.php,"""Industrial price""",NA,$/ton
OH,EIA (Table 34) https://www.eia.gov/coal/data.php,"""Industrial price""",99.33,$/ton
OK,EIA (Table 34) https://www.eia.gov/coal/data.php,"""Industrial price""",68.79,$/ton
OR,EIA (Table 34) https://www.eia.gov/coal/data.php,"""Industrial price""",NA,$/ton
PA,EIA (Table 34) https://www.eia.gov/coal/data.php,"""Industrial price""",81.33,$/ton
RI,EIA (Table 34) https://www.eia.gov/coal/data.php,"""Industrial price""",NA,$/ton
SC,EIA (Table 34) https://www.eia.gov/coal/data.php,"""Industrial price""",99.82,$/ton
SD,EIA (Table 34) https://www.eia.gov/coal/data.php,"""Industrial price""",NA,$/ton
TN,EIA (Table 34) https://www.eia.gov/coal/data.php,"""Industrial price""",82.48,$/ton
TX,EIA (Table 34) https://www.eia.gov/coal/data.php,"""Industrial price""",87.32,$/ton
UT,EIA (Table 34) https://www.eia.gov/coal/data.php,"""Industrial price""",53.65,$/ton
VT,EIA (Table 34) https://www.eia.gov/coal/data.php,"""Industrial price""",NA,$/ton
VA,EIA (Table 34) https://www.eia.gov/coal/data.php,"""Industrial price""",92.18,$/ton
WA,EIA (Table 34) https://www.eia.gov/coal/data.php,"""Industrial price""",NA,$/ton
WV,EIA (Table 34) https://www.eia.gov/coal/data.php,"""Industrial price""",154.38,$/ton
WI,EIA (Table 34) https://www.eia.gov/coal/data.php,"""Industrial price""",84.49,$/ton
WY,EIA (Table 34) https://www.eia.gov/coal/data.php,"""Industrial price""",46.57,$/ton
