Location,Source,Comments,value,unit
US average,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Industrial price""",4.21,$/1000 ft3
AL,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Industrial price""",4.22,$/1000 ft3
AK,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Industrial price""",5.81,$/1000 ft3
AZ,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Industrial price""",5.98,$/1000 ft3
AR,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Industrial price""",6.78,$/1000 ft3
CA,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Industrial price""",7.12,$/1000 ft3
CO,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Industrial price""",5.28,$/1000 ft3
CT,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Industrial price""",6.55,$/1000 ft3
DE,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Industrial price""",10.07,$/1000 ft3
DC,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Industrial price""",NA,$/1000 ft3
FL,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Industrial price""",6.38,$/1000 ft3
GA,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Industrial price""",4.63,$/1000 ft3
HI,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Industrial price""",22.62,$/1000 ft3
ID,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Industrial price""",3.98,$/1000 ft3
IL,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Industrial price""",5.55,$/1000 ft3
IN,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Industrial price""",6.1,$/1000 ft3
IA,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Industrial price""",5.36,$/1000 ft3
KS,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Industrial price""",4.38,$/1000 ft3
KY,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Industrial price""",4.4,$/1000 ft3
LA,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Industrial price""",3.53,$/1000 ft3
ME,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Industrial price""",9.26,$/1000 ft3
MD,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Industrial price""",8.51,$/1000 ft3
MA,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Industrial price""",10.31,$/1000 ft3
MI,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Industrial price""",5.98,$/1000 ft3
MN,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Industrial price""",4.8,$/1000 ft3
MS,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Industrial price""",5.14,$/1000 ft3
MO,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Industrial price""",6.5,$/1000 ft3
MT,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Industrial price""",6.42,$/1000 ft3
NE,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Industrial price""",4.48,$/1000 ft3
NV,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Industrial price""",5.35,$/1000 ft3
NH,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Industrial price""",9.81,$/1000 ft3
NJ,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Industrial price""",8.03,$/1000 ft3
NM,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Industrial price""",3.72,$/1000 ft3
NY,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Industrial price""",7.83,$/1000 ft3
NC,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Industrial price""",6.18,$/1000 ft3
ND,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Industrial price""",3.29,$/1000 ft3
OH,EIA https://www.eia.gov/dnav/ng/ng_pri_sum_a_EPG0_PIN_DMcf_a.htm,"""Industrial price""",6.65,$/1000 ft3
