Type,Item,Source,% cost,,,,,
onshore,Generator,NREL,33.96501458,,,,,
onshore,Non-turbine equipment,NREL,22.74052478,,,,,
onshore,Rotor,NREL,18.95043732,,,,,
onshore,Other ,NREL,8.309037901,,,,,
onshore,Tower,NREL,16.03498542,,,,,
offshore,Generator,NREL,8.132387707,,,,,
offshore,Non-turbine equipment,NREL,18.43971631,,,,,
offshore,Rotor,NREL,8.132387707,,,,,
offshore,Other ,NREL,30.21276596,,,,,
offshore,Tower,NREL,35.08274232,,,,,
offshore,Generator,IRENA,23.27,,,,,
offshore,Non-turbine equipment,IRENA,4.55,,,,,
offshore,Rotor,IRENA,24.79,,,,,
offshore,Other ,IRENA,10.67,,,,,
offshore,Tower,IRENA,36.72,,,,,
onshore,Generator,IRENA,12,,,,,
onshore,Non-turbine equipment,IRENA,11,,,,,
onshore,Rotor,IRENA,20,,,,,
onshore,Other ,IRENA,25,,,,,
onshore,Tower,IRENA,32,,,,,
offshore ,Generator,AVERAGE,6.23636,,,,,
offshore ,Non-turbine equipment,AVERAGE,23.2694,,,,,
offshore ,Rotor,AVERAGE,6.64372,,,,,
offshore ,Other ,AVERAGE,32.95956,,,,,
offshore ,Tower,AVERAGE,30.89096,,,,,
