Cost Type,Source,Type,value,unit,ref_turbine,unit,ref_windfarm,unit,
OCC,NREL,onshore,1575,$/KW,3.4,MW,600,MW,unavailable
FOM,NREL,onshore,43.56,$/KW-year,,,,,
VOM,NREL,onshore,0,$/MWh,,,,,
OCC,EIA,onshore,1242,$/KW,3.4,MW,600,MW,unavailable
FOM,EIA,onshore,24,$/KW-year,,,,,
VOM,EIA,onshore,0,$/MWh,,,,,
OCC,NREL,offshore,3710.5,$/KW,3.4,MW,600,MW,
FOM,NREL,offshore,113.5,$/KW-year,,,,,
VOM,NREL,offshore,0,$/MWh,,,,,
OCC,EIA,offshore,5354.965585,$/KW,3.4,MW,600,MW,unavailable
FOM,EIA,offshore,107.7089479,$/KW-year,,,,,
VOM,EIA,offshore,0,$/MWh,,,,,
