P,Census Region,State,Interconnect,Country,cap_reg_mult,source
p2,PA,WA,WSCC,usa,1.05355,ReEDS
p1,PA,WA,WSCC,usa,1.04875,ReEDS
p1,PA,WA,WSCC,usa,1.04348,ReEDS
p1,PA,WA,WSCC,usa,1.05369,ReEDS
p2,PA,WA,WSCC,usa,1.07201,ReEDS
p3,PA,WA,WSCC,usa,1.05775,ReEDS
p4,PA,WA,WSCC,usa,1.06031,ReEDS
p3,PA,WA,WSCC,usa,1.06047,ReEDS
p2,PA,WA,WSCC,usa,1.06532,ReEDS
p5,PA,OR,WSCC,usa,1.08556,ReEDS
p5,PA,OR,WSCC,usa,1.08976,ReEDS
p5,PA,OR,WSCC,usa,1.08887,ReEDS
p5,PA,OR,WSCC,usa,1.08952,ReEDS
p6,PA,OR,WSCC,usa,1.10454,ReEDS
p6,PA,OR,WSCC,usa,1.10108,ReEDS
p5,PA,OR,WSCC,usa,1.07283,ReEDS
p5,PA,OR,WSCC,usa,1.0816,ReEDS
p7,PA,OR,WSCC,usa,1.08827,ReEDS
p7,PA,OR,WSCC,usa,1.06785,ReEDS
p9,PA,CA,WSCC,usa,1.12128,ReEDS
p8,PA,CA,WSCC,usa,1.11402,ReEDS
p9,PA,CA,WSCC,usa,1.13144,ReEDS
p9,PA,CA,WSCC,usa,1.1246,ReEDS
p9,PA,CA,WSCC,usa,1.1251,ReEDS
p9,PA,CA,WSCC,usa,1.16979,ReEDS
p9,PA,CA,WSCC,usa,1.14259,ReEDS
p9,PA,CA,WSCC,usa,1.13281,ReEDS
p10,PA,CA,WSCC,usa,1.11575,ReEDS
p9,PA,CA,WSCC,usa,1.13923,ReEDS
p10,PA,CA,WSCC,usa,1.13229,ReEDS
p10,PA,CA,WSCC,usa,1.14216,ReEDS
p11,PA,CA,WSCC,usa,1.11683,ReEDS
p10,PA,CA,WSCC,usa,1.10135,ReEDS
p12,MTN,NV,WSCC,usa,1.11547,ReEDS
p12,MTN,NV,WSCC,usa,1.09793,ReEDS
p12,MTN,NV,WSCC,usa,1.08004,ReEDS
p12,MTN,NV,WSCC,usa,1.11364,ReEDS
p12,MTN,NV,WSCC,usa,1.09989,ReEDS
p12,MTN,NV,WSCC,usa,1.08788,ReEDS
p13,MTN,NV,WSCC,usa,1.08788,ReEDS
p14,MTN,ID,WSCC,usa,1.06121,ReEDS
p15,MTN,ID,WSCC,usa,1.06156,ReEDS
p15,MTN,ID,WSCC,usa,1.06088,ReEDS
