Group By,Region,Installation Type,wind_speed_range,min_wind_speed,max_wind_speed,avg_wind_speed,unit,cap_fac,has a shore & thus offshore is option?,state has speeds of 9-10 m/s in some onshore places at 100m hub ht,is given speed possible onshore at 100m hub ht?,is given speed possible offshore at 100m hub ht or lower?,Source
State,California,offshore,10.0 - 10.5,10,10.5,10.3,m/s,0.6,yes,yes,impossible,possible,NREL
State,California,offshore,10.5 - 11.0,10.5,11,10.8,m/s,0.6,yes,yes,impossible,possible,NREL
State,Hawaii,offshore,9.5 - 10.0,9.5,10,9.8,m/s,0.6,yes,no,impossible,possible,NREL
State,Hawaii,offshore,9.0 - 9.5,9,9.5,9.3,m/s,0.6,yes,no,impossible,possible,NREL
State,Maine,offshore,9.0 - 9.5,9,9.5,9.3,m/s,0.6,yes,no,impossible,possible,NREL
State,Maine,offshore,9.5 - 10.0,9.5,10,9.8,m/s,0.6,yes,no,impossible,possible,NREL
State,Maine,offshore,10.0 - 10.5,10,10.5,10.3,m/s,0.6,yes,no,impossible,possible,NREL
State,Massachusetts,offshore,9.0 - 9.5,9,9.5,9.3,m/s,0.6,yes,no,impossible,possible,NREL
State,Massachusetts,offshore,9.5 - 10.0,9.5,10,9.8,m/s,0.6,yes,no,impossible,possible,NREL
State,New Jersey,offshore,9.0 - 9.5,9,9.5,9.3,m/s,0.6,yes,no,impossible,possible,NREL
State,New York,offshore,9.0 - 9.5,9,9.5,9.3,m/s,0.6,yes,no,impossible,possible,NREL
State,New York,offshore,9.5 - 10.0,9.5,10,9.8,m/s,0.6,yes,no,impossible,possible,NREL
State,Oregon,offshore,10.0 - 10.5,10,10.5,10.3,m/s,0.6,yes,no,impossible,possible,NREL
State,Oregon,offshore,10.5 - 11.0,10.5,11,10.8,m/s,0.6,yes,no,impossible,possible,NREL
State,Oregon,offshore,9.5 - 10.0,9.5,10,9.8,m/s,0.6,yes,no,impossible,possible,NREL
State,Oregon,offshore,9.0 - 9.5,9,9.5,9.3,m/s,0.6,yes,no,impossible,possible,NREL
State,Rhode Island,offshore,9.0 - 9.5,9,9.5,9.3,m/s,0.6,yes,no,impossible,possible,NREL
State,Rhode Island,offshore,9.5 - 10.0,9.5,10,9.8,m/s,0.6,yes,no,impossible,possible,NREL
State,Washington,offshore,9.0 - 9.5,9,9.5,9.3,m/s,0.6,yes,no,impossible,possible,NREL
State,Alabama,offshore,7.0 - 7.5,7,7.5,7.3,m/s,0.4,yes,no,possible,possible,NREL
State,Alabama,offshore,6.5 - 7.0,6.5,7,6.8,m/s,0.35,yes,no,possible,possible,NREL
State,California,offshore,7.5 - 8.0,7.5,8,7.8,m/s,0.43,yes,yes,possible,possible,NREL
State,California,offshore,9.5 - 10.0,9.5,10,9.8,m/s,0.6,yes,yes,possible,possible,NREL
